num,id,name,price,rating,review,img_src,url,rank
1,B0799PWQ7Y,Lopres AF – This Doctor Developed BP TCM Formula has Been Successfully Used by Millions Around The World for Over 20 Years. Perfect Alternative to Western BP Medicine. Recommend by Leading ND’s,$49.95,4.5,37,https://m.media-amazon.com/images/I/61KNB9tSQZL._AC_UL320_.jpg,https://www.amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0719831IMN5415CI1GU&url=%2FEffective-Available-Alternative-Naturopathic-Nationally%2Fdp%2FB0799PWQ7Y%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3DGarlic%2BHerbal%2BSupplements%26qid%3D1621594372%26sr%3D8-1-spons%26psc%3D1&qualifier=1621594372&id=138725858547290&widgetName=sp_atf,not be a best
2,B00012NGIA,Kyolic Garlic Formula 100 Original Cardiovascular Formula (300 Capsules),out of stock,4.7,"4,257",https://m.media-amazon.com/images/I/61mQX5lpOIL._AC_UL320_.jpg,https://www.amazon.com//Kyolic-Formula-Original-Cardiovascular-Capsules/dp/B00012NGIA/ref=sr_1_2?dchild=1&keywords=Garlic+Herbal+Supplements&qid=1621594372&sr=8-2,not be a best
3,B08BWN8M3Y,"4-in-1 Turmeric Curcumin w Bioperine 2360mg (120 ct) | 95% Curcuminoids, Ginger Root, Garlic Pills, Black Pepper | Anti Inflammatory Joint Pain Heart Health | Made in The USA",out of stock,4.6,"2,662",https://m.media-amazon.com/images/I/61Nxnm2kPJL._AC_UL320_.jpg,https://www.amazon.com//Turmeric-Curcumin-Bioperine-Curcuminoids-Inflammatory/dp/B08BWN8M3Y/ref=sr_1_3?dchild=1&keywords=Garlic+Herbal+Supplements&qid=1621594372&sr=8-3,not be a best
4,B06XH5VVXG,BRI Nutrition Odorless Garlic - 120 Softgels - 1000mg Pure and Potent Garlic Allium Sativum Supplement (Maximum Strength) - 60 Day Supply,out of stock,4.6,"10,144",https://m.media-amazon.com/images/I/91YJP8kxkJL._AC_UL320_.jpg,https://www.amazon.com//BRI-Nutrition-Odorless-Garlic-Supplement/dp/B06XH5VVXG/ref=sr_1_4?dchild=1&keywords=Garlic+Herbal+Supplements&qid=1621594372&sr=8-4,Amazon's 
5,B08JXP4MS1,"Puritan's Pride Odorless Garlic 1000 Mg, 500 Total Count (2 Pack of 250 Count Softgels), by Puritan's Pride, 500 Count",out of stock,4.7,"11,163",https://m.media-amazon.com/images/I/81WKurHyt5L._AC_UL320_.jpg,https://www.amazon.com//Puritans-Pride-Odorless-Garlic-Softgels/dp/B08JXP4MS1/ref=sr_1_5?dchild=1&keywords=Garlic+Herbal+Supplements&qid=1621594372&sr=8-5,not be a best
6,B07M92SR4M,Odorless Garlic Softgels | 2400 mg | 250 Count | Ultra Potent Garlic Extract | Non-GMO & Gluten Free Pills | by Horbaach,out of stock,4.7,"4,959",https://m.media-amazon.com/images/I/71MdvcdU6CL._AC_UL320_.jpg,https://www.amazon.com//Horbaach-Odorless-Softgels-Extract-Supplement/dp/B07M92SR4M/ref=sr_1_6?dchild=1&keywords=Garlic+Herbal+Supplements&qid=1621594372&sr=8-6,Best Seller
7,B01CP0WPKK,"Kyolic Aged Garlic Extract Formula 109 Blood Pressure Health, 240 Capsules",out of stock,4.7,599,https://m.media-amazon.com/images/I/51+j6SZO6dL._AC_UL320_.jpg,https://www.amazon.com//Kyolic-Pressure-Odorless-Supplement-Gluten-Free/dp/B01CP0WPKK/ref=sr_1_7?dchild=1&keywords=Garlic+Herbal+Supplements&qid=1621594372&sr=8-7,not be a best
8,B002PWYVOC,"Sundown Garlic 1000 mg, 250 Odorless Softgels (Packaging May Vary) Non-GMOˆ, Free of Gluten, Dairy, Artificial Flavors",out of stock,4.7,"4,666",https://m.media-amazon.com/images/I/71pa29ehYmL._AC_UL320_.jpg,https://www.amazon.com//Sundown-Naturals-Odorless-Softgels-Packaging/dp/B002PWYVOC/ref=sr_1_8?dchild=1&keywords=Garlic+Herbal+Supplements&qid=1621594372&sr=8-8,not be a best
9,B001GAOGGM,"Nature's Bounty Garlic 2000mg, Tablets 120 ea (Pack of 4)",out of stock,4.7,788,https://m.media-amazon.com/images/I/716SjRvAXYL._AC_UL320_.jpg,https://www.amazon.com//Natures-Bounty-Garlic-2000mg-Tablets/dp/B001GAOGGM/ref=sr_1_9?dchild=1&keywords=Garlic+Herbal+Supplements&qid=1621594372&sr=8-9,not be a best
10,B00DEYLC42,"NOW Supplements, Odorless Garlic (Allium sativum), Concentrated Extract, 250 Softgels",out of stock,4.7,698,https://m.media-amazon.com/images/I/6156I5wn-RL._AC_UL320_.jpg,https://www.amazon.com//Supplements-Odorless-Garlic-sativum-Softgels/dp/B00DEYLC42/ref=sr_1_10?dchild=1&keywords=Garlic+Herbal+Supplements&qid=1621594372&sr=8-10,not be a best
11,B07FSWJ5QR,"Herbal Roots Organic Whole Bulb Garlic Pills - Potent Extra Strength - Immune and Cardiovascular Support - 600 mg, 60 Capsules - Made in The USA",out of stock,4.7,"1,001",https://m.media-amazon.com/images/I/812pV5ZFzvS._AC_UL320_.jpg,https://www.amazon.com//Mortar-Pestle-Herbs-Organic-Supplement/dp/B07FSWJ5QR/ref=sr_1_11?dchild=1&keywords=Garlic+Herbal+Supplements&qid=1621594372&sr=8-11,not be a best
12,B000Z8XLCG,"Nature's Way Garlicin Cardio SmartRelease Garlic, Circulation Support, 350 mg per serving, 180 Tablets",out of stock,4.7,264,https://m.media-amazon.com/images/I/41nZ6fcwK2L._AC_UL320_.jpg,https://www.amazon.com//Natures-Way-Garlicin-180-Tablets/dp/B000Z8XLCG/ref=sr_1_12?dchild=1&keywords=Garlic+Herbal+Supplements&qid=1621594372&sr=8-12,not be a best
13,B01CP0WPR8,"Kyolic Aged Garlic Extract Formula 103 Immune Formula, 300 Capsules",out of stock,4.8,"2,470",https://m.media-amazon.com/images/I/71mUxmdizdL._AC_UL320_.jpg,https://www.amazon.com//Kyolic-Capsules-Supplement-Astralagus-Gluten-Free/dp/B01CP0WPR8/ref=sr_1_13?dchild=1&keywords=Garlic+Herbal+Supplements&qid=1621594372&sr=8-13,not be a best
