num,id,name,price,rating,review,img_src,url
1,B08P3SVWFR,StarKist Premium White Chicken - 2.6 oz Pouch (Pack of 12),out of stock,4.7 out of 5 stars,120,https://m.media-amazon.com/images/I/9143HeN-WJL._AC_UL320_.jpg,https://www.amazon.com//StarKist-Premium-White-Chicken-Pouch/dp/B08P3SVWFR/ref=sr_1_1?dchild=1&keywords=chicken&qid=1621400068&sr=8-1
2,B014S96C9G,Farmland Traditions Dogs Love Chicken Premium Jerky Treats for Dogs (3 lbs. USA Raised Chicken),out of stock,4.7 out of 5 stars,"5,186",https://m.media-amazon.com/images/I/81xNl-ZM3jL._AC_UL320_.jpg,https://www.amazon.com//Farmland-Traditions-Chicken-Jerky-Treats/dp/B014S96C9G/ref=sr_1_2?dchild=1&keywords=chicken&qid=1621400068&sr=8-2
3,B088829MMM,"Kirkland Signature Chicken Breast, 12.5 oz (6)",$19.16,4.6 out of 5 stars,464,https://m.media-amazon.com/images/I/71Fm+GLnVlL._AC_UL320_.jpg,https://www.amazon.com//Kirkland-Signature-Chicken-Breast-12-5/dp/B088829MMM/ref=sr_1_3?dchild=1&keywords=chicken&qid=1621400068&sr=8-3
4,B079KPNY1H,"Wellsley Farms White Premium Chunk Chicken Breast in Water, 12.5 Ounce, 6 Count",out of stock,4.7 out of 5 stars,946,https://m.media-amazon.com/images/I/71dn+0692AL._AC_UL320_.jpg,https://www.amazon.com//Wellsley-Farms-Premium-Chicken-Breast/dp/B079KPNY1H/ref=sr_1_4?dchild=1&keywords=chicken&qid=1621400068&sr=8-4
5,B00J4B1JA6,"Minor's Chicken Base and Stock, Great for Soups and Sauces, 0 Grams Trans Fat, Poultry Flavor, 16 oz",$12.99,4.7 out of 5 stars,"2,994",https://m.media-amazon.com/images/I/91Gnm+VdTBL._AC_UL320_.jpg,https://www.amazon.com//Minors-Chicken-Base-16-Ounce/dp/B00J4B1JA6/ref=sr_1_5?dchild=1&keywords=chicken&qid=1621400068&sr=8-5
6,B00BHR2IHI,"Campbell’s Condensed Chicken Noodle Soup, 10.75 Ounce Can with Pop-Top Lid (Pack of 4)",out of stock,4.7 out of 5 stars,"8,312",https://m.media-amazon.com/images/I/81gU+PVd2-L._AC_UL320_.jpg,https://www.amazon.com//Campbells-Condensed-Chicken-Noodle-10-75/dp/B00BHR2IHI/ref=sr_1_6?dchild=1&keywords=chicken&qid=1621400068&sr=8-6
7,B000OU1Z5A,"Hormel COMPLEATS Chicken Alfredo, 10 Ounce (Pack of 6)",out of stock,4.4 out of 5 stars,"8,459",https://m.media-amazon.com/images/I/61XpV2tyJHL._AC_UL320_.jpg,https://www.amazon.com//Hormel-Compleats-Chicken-Alfredo-Ounce/dp/B000OU1Z5A/ref=sr_1_7?dchild=1&keywords=chicken&qid=1621400068&sr=8-7
8,B08881B3J4,"Kirkland Signature Chicken Breast, 12.5 oz - 6 count (Pack of 2) | total 12 count",$29.08,4.7 out of 5 stars,30,https://m.media-amazon.com/images/I/71PjNGSQXLL._AC_UL320_.jpg,https://www.amazon.com//Kirkland-Signature-Chicken-Breast-12-5/dp/B08881B3J4/ref=sr_1_8?dchild=1&keywords=chicken&qid=1621400068&sr=8-8
9,B01EX0H12M,Full Moon All Natural Human Grade Dog Treats,out of stock,4.7 out of 5 stars,"6,646",https://m.media-amazon.com/images/I/71kP7Sl-YeL._AC_UL320_.jpg,https://www.amazon.com//Full-Moon-Natural-Treats-Chicken/dp/B01EX0H12M/ref=sr_1_9?dchild=1&keywords=chicken&qid=1621400068&sr=8-9
10,B019YHTJGA,"SWEET SUE Chunk White Chicken in Water, High Protein Food, Keto Food and Snacks, Gluten Free Food, High Protein Snacks, Bulk Canned Food, 5 Ounce Cans (Pack of 24)",out of stock,4.5 out of 5 stars,867,https://m.media-amazon.com/images/I/51RaORk89nL._AC_UL320_.jpg,https://www.amazon.com//Chicken-Protein-Snacks-Gluten-Canned/dp/B019YHTJGA/ref=sr_1_10?dchild=1&keywords=chicken&qid=1621400068&sr=8-10
11,B07C6P6J4X,"Kirkland Signature Premium Chunk Chicken Breast Packed in Water, 12.5 Ounce, 12 count",$33.38,4.5 out of 5 stars,63,https://m.media-amazon.com/images/I/81YsnC5xvKL._AC_UL320_.jpg,https://www.amazon.com//Kirkland-Signature-Premium-Chicken-Breast/dp/B07C6P6J4X/ref=sr_1_11?dchild=1&keywords=chicken&qid=1621400068&sr=8-11
12,B018BCOB4E,"BUMBLE BEE Snack on the Run Chicken Salad with Crackers, Canned Food, High Protein Snacks & Groceries, 3.5 Ounce (Pack of 3)",out of stock,4.4 out of 5 stars,"5,251",https://m.media-amazon.com/images/I/81HoRNcqlkL._AC_UL320_.jpg,https://www.amazon.com//BUMBLE-Chicken-Crackers-Protein-Groceries/dp/B018BCOB4E/ref=sr_1_12?dchild=1&keywords=chicken&qid=1621400068&sr=8-12
13,B086WQXFJG,"Flock Keto Chicken Skin Chips | 100% Real Chicken | Low Carb, High Protein, Sugar Free, Gluten Free Single Serve Snack| Original Flavor, 8-Pack",out of stock,3.3 out of 5 stars,"1,779",https://m.media-amazon.com/images/I/71MLljSv4ZL._AC_UL320_.jpg,https://www.amazon.com//Flock-Chicken-Protein-Gluten-Original/dp/B086WQXFJG/ref=sr_1_13?dchild=1&keywords=chicken&qid=1621400068&sr=8-13
14,B01J38CP98,"Swanson Chicken & Dumplings Made with White & Dark Chicken Meat, 10.5 Ounce Can, Pack of 12",out of stock,4.5 out of 5 stars,558,https://m.media-amazon.com/images/I/81zKkNZnhCL._AC_UL320_.jpg,https://www.amazon.com//Swanson-Chicken-Dumplings-Soup-10-5/dp/B01J38CP98/ref=sr_1_14?dchild=1&keywords=chicken&qid=1621400068&sr=8-14
15,B000MICPOY,"Campbell’s Sipping Soup, Chicken & Mini Round Noodles, 10.75 Ounce Cup (Pack of 8)",out of stock,4.6 out of 5 stars,"5,550",https://m.media-amazon.com/images/I/81Xo7CeMqHS._AC_UL320_.jpg,https://www.amazon.com//Campbells-Go-Chicken-Round-Noodles-10-75/dp/B000MICPOY/ref=sr_1_15?dchild=1&keywords=chicken&qid=1621400068&sr=8-15
16,B073NNB89K,Knorr Chicken Flavor Bouillon (1-JAR) (NET WT 15.9 OZ),out of stock,4.7 out of 5 stars,326,https://m.media-amazon.com/images/I/513c4QR6krL._AC_UL320_.jpg,https://www.amazon.com//Knorr-Chicken-Flavor-Bouillon-1-JAR/dp/B073NNB89K/ref=sr_1_16?dchild=1&keywords=chicken&qid=1621400068&sr=8-16
17,B08KNT4J48,"Maruchan Ramen Noodle Soup, Creamy Chicken Flavor (3 oz), 12 count",$13.27,4.5 out of 5 stars,175,https://m.media-amazon.com/images/I/61TjfSKUPfL._AC_UL320_.jpg,https://www.amazon.com//Maruchan-Noodle-Creamy-Chicken-Flavor/dp/B08KNT4J48/ref=sr_1_17?dchild=1&keywords=chicken&qid=1621400068&sr=8-17
18,B00BFITRRS,Weber Kick'n Chicken Seasoning 22 Oz. Made with Sea Salt - No MSG - Gluten Free - Perfect for Grilling,$13.99,4.9 out of 5 stars,"1,692",https://m.media-amazon.com/images/I/81sHtO0vAYL._AC_UL320_.jpg,https://www.amazon.com//Weber-Kickn-Chicken-Seasoning-Made/dp/B00BFITRRS/ref=sr_1_18?dchild=1&keywords=chicken&qid=1621400068&sr=8-18
19,B008R82G7W,Nabisco Chicken in a Biskit Family Size 12 Oz. (2pk),out of stock,4.8 out of 5 stars,138,https://m.media-amazon.com/images/I/91fp9N76ERL._AC_UL320_.jpg,https://www.amazon.com//Nabisco-Chicken-Biskit-Family-Size/dp/B008R82G7W/ref=sr_1_19?dchild=1&keywords=chicken&qid=1621400068&sr=8-19
20,B0087E4584,Hormel Herb Ox Chicken Bouillon 50 Packets,out of stock,4.7 out of 5 stars,"1,814",https://m.media-amazon.com/images/I/917-Zofm-OL._AC_UL320_.jpg,https://www.amazon.com//Hormel-Herb-Chicken-Bouillon-Packets/dp/B0087E4584/ref=sr_1_20?dchild=1&keywords=chicken&qid=1621400068&sr=8-20
21,B003OB4BOS,"Maruchan Ramen Picante Chicken, 3.0 Oz, Pack of 24",$14.40,4.7 out of 5 stars,"33,922",https://m.media-amazon.com/images/I/91takZ0pzkL._AC_UL320_.jpg,https://www.amazon.com//Maruchan-Ramen-Picante-Chicken-Pack/dp/B003OB4BOS/ref=sr_1_21?dchild=1&keywords=chicken&qid=1621400068&sr=8-21
22,B01H65IUUI,"Howard's Crispy Fried Chicken Skins - Chicharrones de Pollo, 1.5oz, Pack of 4",$10.99,3.5 out of 5 stars,"1,229",https://m.media-amazon.com/images/I/81fOqt9WvbL._AC_UL320_.jpg,https://www.amazon.com//Howards-Crispy-Fried-Chicken-Skins/dp/B01H65IUUI/ref=sr_1_22?dchild=1&keywords=chicken&qid=1621400068&sr=8-22
23,B006VS0622,"Swanson Chicken á la King Made with White and Dark Meat Chicken, 10.5 Ounce Can (Pack of 12)",out of stock,4.6 out of 5 stars,"1,219",https://m.media-amazon.com/images/I/81JRYjLJvgL._AC_UL320_.jpg,https://www.amazon.com//Swanson-Chicken-King-10-5-Ounce/dp/B006VS0622/ref=sr_1_23?dchild=1&keywords=chicken&qid=1621400068&sr=8-23
24,B06Y6LW1VT,Badia Rotisserie Chicken Seasoning 22 oz,$16.40,4.6 out of 5 stars,489,https://m.media-amazon.com/images/I/81eA5aKvMvL._AC_UL320_.jpg,https://www.amazon.com//Badia-Rotisserie-Chicken-Seasoning-22/dp/B06Y6LW1VT/ref=sr_1_24?dchild=1&keywords=chicken&qid=1621400068&sr=8-24
25,B011Q21H1G,Chicken Shit Poultry Seasoning,$14.15,4.7 out of 5 stars,"1,030",https://m.media-amazon.com/images/I/61B4OYizaeL._AC_UL320_.jpg,https://www.amazon.com//Big-Cock-Chicken-Poultry-Seasoning/dp/B011Q21H1G/ref=sr_1_28?dchild=1&keywords=chicken&qid=1621400068&sr=8-28
