num,id,name,price,rating,review,rank,img_src,url
1,B08P3SVWFR,StarKist Premium White Chicken - 2.6 oz Pouch (Pack of 12),out of stock,4.7 out of 5 stars,130,not be a best,https://m.media-amazon.com/images/I/9143HeN-WJL._AC_UL320_.jpg,https://www.amazon.com//StarKist-Premium-White-Chicken-Pouch/dp/B08P3SVWFR/ref=sr_1_2?crid=3Q2KXWLT7LP4R&dchild=1&keywords=chicken&qid=1621854970&sprefix=ch%2Caps%2C415&sr=8-2
2,B088829MMM,"Kirkland Signature Chicken Breast, 12.5 oz (6)",$19.16,4.6 out of 5 stars,469,not be a best,https://m.media-amazon.com/images/I/71Fm+GLnVlL._AC_UL320_.jpg,https://www.amazon.com//Kirkland-Signature-Chicken-Breast-12-5/dp/B088829MMM/ref=sr_1_3?crid=3Q2KXWLT7LP4R&dchild=1&keywords=chicken&qid=1621854970&sprefix=ch%2Caps%2C415&sr=8-3
3,B079KPNY1H,"Wellsley Farms White Premium Chunk Chicken Breast in Water, 12.5 Ounce, 6 Count",out of stock,4.7 out of 5 stars,949,not be a best,https://m.media-amazon.com/images/I/71dn+0692AL._AC_UL320_.jpg,https://www.amazon.com//Wellsley-Farms-Premium-Chicken-Breast/dp/B079KPNY1H/ref=sr_1_4?crid=3Q2KXWLT7LP4R&dchild=1&keywords=chicken&qid=1621854970&sprefix=ch%2Caps%2C415&sr=8-4
4,B014S96C9G,Farmland Traditions Dogs Love Chicken Premium Jerky Treats for Dogs (3 lbs. USA Raised Chicken),out of stock,4.7 out of 5 stars,"5,201",not be a best,https://m.media-amazon.com/images/I/81xNl-ZM3jL._AC_UL320_.jpg,https://www.amazon.com//Farmland-Traditions-Chicken-Jerky-Treats/dp/B014S96C9G/ref=sr_1_5?crid=3Q2KXWLT7LP4R&dchild=1&keywords=chicken&qid=1621854970&sprefix=ch%2Caps%2C415&sr=8-5
5,B08881B3J4,"Kirkland Signature Chicken Breast, 12.5 oz - 6 count (Pack of 2) | total 12 count",$29.04,4.7 out of 5 stars,31,not be a best,https://m.media-amazon.com/images/I/71PjNGSQXLL._AC_UL320_.jpg,https://www.amazon.com//Kirkland-Signature-Chicken-Breast-12-5/dp/B08881B3J4/ref=sr_1_6?crid=3Q2KXWLT7LP4R&dchild=1&keywords=chicken&qid=1621854970&sprefix=ch%2Caps%2C415&sr=8-6
6,B079VPG13J,"Mary's, Ground Chicken Breast, 16 oz",out of stock,4.7 out of 5 stars,449,not be a best,https://m.media-amazon.com/images/I/81S71g3D+UL._AC_UL320_.jpg,https://www.amazon.com//MARYS-CHICKEN-Ground-Chicken-Breast/dp/B079VPG13J/ref=sr_1_7?crid=3Q2KXWLT7LP4R&dchild=1&keywords=chicken&qid=1621854970&sprefix=ch%2Caps%2C415&sr=8-7
7,B07P53PT6H,"Chicken In A Biskit Baked Snack Crackers, 12 oz (Pack of 4)",out of stock,4.6 out of 5 stars,50,not be a best,https://m.media-amazon.com/images/I/61T9HYJ095L._AC_UL320_.jpg,https://www.amazon.com//Chicken-Biskit-Baked-Snack-Crackers/dp/B07P53PT6H/ref=sr_1_8?crid=3Q2KXWLT7LP4R&dchild=1&keywords=chicken&qid=1621854970&sprefix=ch%2Caps%2C415&sr=8-8
8,B086WQXFJG,"Flock Keto Chicken Skin Chips | 100% Real Chicken | Low Carb, High Protein, Sugar Free, Gluten Free Single Serve Snack| Original Flavor, 8-Pack",out of stock,3.3 out of 5 stars,"1,811",not be a best,https://m.media-amazon.com/images/I/71MLljSv4ZL._AC_UL320_.jpg,https://www.amazon.com//Flock-Chicken-Protein-Gluten-Original/dp/B086WQXFJG/ref=sr_1_9?crid=3Q2KXWLT7LP4R&dchild=1&keywords=chicken&qid=1621854970&sprefix=ch%2Caps%2C415&sr=8-9
9,B00BFITRRS,Weber Kick'n Chicken Seasoning 22 Oz. Made with Sea Salt - No MSG - Gluten Free - Perfect for Grilling,$13.99,4.9 out of 5 stars,"1,697",Best Seller,https://m.media-amazon.com/images/I/81sHtO0vAYL._AC_UL320_.jpg,https://www.amazon.com//Weber-Kickn-Chicken-Seasoning-Made/dp/B00BFITRRS/ref=sr_1_10?crid=3Q2KXWLT7LP4R&dchild=1&keywords=chicken&qid=1621854970&sprefix=ch%2Caps%2C415&sr=8-10
10,B01BUDZIK2,"Wild Planet Organic Roasted Chicken Breast, 5 Ounce (Pack of 12)",$58.84,4.5 out of 5 stars,147,not be a best,https://m.media-amazon.com/images/I/61xsZko4bNL._AC_UL320_.jpg,https://www.amazon.com//Wild-Planet-Organic-Roasted-Chicken/dp/B01BUDZIK2/ref=sr_1_11?crid=3Q2KXWLT7LP4R&dchild=1&keywords=chicken&qid=1621854970&sprefix=ch%2Caps%2C415&sr=8-11
