num,id,text,score,polarity,like,comment,shared,date_time,img_src,url
1,3830300530402411,"ดบดล เก็บพ้อยน์รอแพทช์ใหม่

ดบดล เก็บพ้อยน์รอแพทช์ใหม่

YOUTUBE.COM
LIVE - การเล่นดบดล 2021 รอบที่ 4
อย่าลืมกดติดตามและกดกระดิ่งไว้ด้วยนะครับ เดี๋ยวพลาดคลิปใหม่ๆ นะรับนกอ้วนไปเลี้ยง : https://www.youtube.com/channel/UC4plRabXFGdAE6HP-tBQKdQ/join...

YOUTUBE.COM
LIVE - การเล่นดบดล 2021 รอบที่ 4",1.5,positive,0,0,0,2021-05-30 20:52:57,https://i.ytimg.com/vi/SU1Ert3ktmA/maxresdefault_live.jpg,
2,3827202470712217,"เอ้า มาไว้จัง

เอ้า มาไว้จัง

YOUTUBE.COM
LIVE - Apex Legends #19 - สนิมกิน V2
อย่าลืมกดติดตามและกดกระดิ่งไว้ด้วยนะครับ เดี๋ยวพลาดคลิปใหม่ๆ นะรับนกอ้วนไปเลี้ยง : https://www.youtube.com/channel/UC4plRabXFGdAE6HP-tBQKdQ/join...

YOUTUBE.COM
LIVE - Apex Legends #19 - สนิมกิน V2",0,neutral,0,0,0,2021-05-29 19:33:02,https://i.ytimg.com/vi/pGbc4_hexCc/maxresdefault_live.jpg,
3,3826441430788321,"มุมหล่อ 555555555

มุมหล่อ 555555555

YOUTUBE.COM
Q&A ONLINE #3 - อยากดูมุมหล่อแบบสมัยก่อน w/Di5trotion&Patiiz
อย่าลืมกดติดตามและกดกระดิ่งไว้ด้วยนะครับ เดี๋ยวพลาดคลิปใหม่ๆ นะรับนกอ้วนไปเลี้ยง : https://www.youtube.com/channel/UC4plRabXFGdAE6HP-tBQKdQ/join...

YOUTUBE.COM
Q&A ONLINE #3 - อยากดูมุมหล่อแบบสมัยก่อน w/Di5trotion&Patiiz",0,neutral,0,0,0,2021-05-29 13:04:17,https://i.ytimg.com/vi/2IvlVgNa9M8/maxresdefault.jpg,
4,3823513854414412,"เห้ยวัยรุ่นทำไยนิเยาหงับงัง

เห้ยวัยรุ่นทำไยนิเยาหงับงัง

YOUTUBE.COM
เสียแขนไม่ว่า เสียหน้าไม่ได้ - Days Gone On PC - Part 9
อย่าลืมกดติดตามและกดกระดิ่งไว้ด้วยนะครับ เดี๋ยวพลาดคลิปใหม่ๆ นะรับนกอ้วนไปเลี้ยง : https://www.youtube.com/channel/UC4plRabXFGdAE6HP-tBQKdQ/join...

YOUTUBE.COM
เสียแขนไม่ว่า เสียหน้าไม่ได้ - Days Gone On PC - Part 9",-1.5,negative,0,0,0,2021-05-28 13:12:08,https://i.ytimg.com/vi/XdTTNG52CcY/maxresdefault.jpg,
5,3820645321367932,"เป็นกลอนที่ตั้งใจแต่งมาก ในคลิปต้องมีเนื้อหาเกี่ยวกับถั่วลิสงแน่นอน

เป็นกลอนที่ตั้งใจแต่งมาก ในคลิปต้องมีเนื้อหาเกี่ยวกับถั่วลิสงแน่นอน

YOUTUBE.COM
เพราะถั่วลิสง ต้องลงปลูกเอง - Days Gone On PC - Part 8(คิดกลอนไม่ออกภาค2)
อย่าลืมกดติดตามและกดกระดิ่งไว้ด้วยนะครับ เดี๋ยวพลาดคลิปใหม่ๆ นะรับนกอ้วนไปเลี้ยง : https://www.youtube.com/channel/UC4plRabXFGdAE6HP-tBQKdQ/join...

YOUTUBE.COM
เพราะถั่วลิสง ต้องลงปลูกเอง - Days Gone On PC - Part 8(คิดกลอนไม่ออกภาค2)",0,neutral,0,0,0,2021-05-27 13:28:51,https://i.ytimg.com/vi/lWm4CNGs9qQ/maxresdefault.jpg,
6,3817679228331208,"อะลืม ๆ ๆๆ ๆ ๆ ๆๆ ๆ ๆ

อะลืม ๆ ๆๆ ๆ ๆ ๆๆ ๆ ๆ

YOUTUBE.COM
ถ้าดื้อแบบนี้ พี่อาจต้องปลง - Days Gone On PC - Part 7
อย่าลืมกดติดตามและกดกระดิ่งไว้ด้วยนะครับ เดี๋ยวพลาดคลิปใหม่ๆ นะรับนกอ้วนไปเลี้ยง : https://www.youtube.com/channel/UC4plRabXFGdAE6HP-tBQKdQ/join...

YOUTUBE.COM
ถ้าดื้อแบบนี้ พี่อาจต้องปลง - Days Gone On PC - Part 7",-4.0,negative,0,0,0,2021-05-26 13:03:41,https://i.ytimg.com/vi/TCLuOLnYj5M/maxresdefault.jpg,
7,3814794838619647,"ชื่อคลิปไม่มีอะไรเกี่ยวกับเนื้อหาสักนิด55555555

ชื่อคลิปไม่มีอะไรเกี่ยวกับเนื้อหาสักนิด55555555

YOUTUBE.COM
น้องรอสักครู่ มันปูต้องหลง - Days Gone On PC - Part 6(คิดกลอนไม่ออก)
อย่าลืมกดติดตามและกดกระดิ่งไว้ด้วยนะครับ เดี๋ยวพลาดคลิปใหม่ๆ นะรับนกอ้วนไปเลี้ยง : https://www.youtube.com/channel/UC4plRabXFGdAE6HP-tBQKdQ/join...

YOUTUBE.COM
น้องรอสักครู่ มันปูต้องหลง - Days Gone On PC - Part 6(คิดกลอนไม่ออก)",-1.5,negative,0,0,0,2021-05-25 14:13:08,https://i.ytimg.com/vi/TgU9spW1uWw/maxresdefault.jpg,
8,3812793842153080,"วันนนนน ฟออออออออ อออลลลลลลลลลลลลลลลลลล

วันนนนน ฟออออออออ อออลลลลลลลลลลลลลลลลลล

YOUTUBE.COM
สแมชชชชชชชชชชชชชชชชชช
อย่าลืมกดติดตามและกดกระดิ่งไว้ด้วยนะครับ เดี๋ยวพลาดคลิปใหม่ๆ นะรับนกอ้วนไปเลี้ยง : https://www.youtube.com/channel/UC4plRabXFGdAE6HP-tBQKdQ/join...

YOUTUBE.COM
สแมชชชชชชชชชชชชชชชชชช",0,neutral,0,0,0,2021-05-24 21:26:53,https://i.ytimg.com/vi/p0Js1r_ndzs/maxresdefault_live.jpg,
9,3811855225580275,"มีมาอ่อนยงอ่อนโยนนนนนน

มีมาอ่อนยงอ่อนโยนนนนนน

YOUTUBE.COM
ไม่ว่าตรงไหน ขอให้ยังอยู่ - Days Gone On PC - Part 5
อย่าลืมกดติดตามและกดกระดิ่งไว้ด้วยนะครับ เดี๋ยวพลาดคลิปใหม่ๆ นะรับนกอ้วนไปเลี้ยง : https://www.youtube.com/channel/UC4plRabXFGdAE6HP-tBQKdQ/join...

YOUTUBE.COM
ไม่ว่าตรงไหน ขอให้ยังอยู่ - Days Gone On PC - Part 5",1.5,positive,0,0,0,2021-05-24 14:04:22,https://i.ytimg.com/vi/vQeCrelNh88/maxresdefault.jpg,
10,3809892112443253,"มา

มา

YOUTUBE.COM
อ่าว
อย่าลืมกดติดตามและกดกระดิ่งไว้ด้วยนะครับ เดี๋ยวพลาดคลิปใหม่ๆ นะรับนกอ้วนไปเลี้ยง : https://www.youtube.com/channel/UC4plRabXFGdAE6HP-tBQKdQ/join...

YOUTUBE.COM
อ่าว",0,neutral,0,0,0,2021-05-23 21:08:17,https://i.ytimg.com/vi/B4SwQflNAo8/maxresdefault_live.jpg,
