num,name,price,type,star,sold,send_from,img_src,url,product_id
1,"Deparee (พร้อมส่ง + ประกัน 1 ปี) NEW ICECOOL Premium 3in1 1,000,000 ซอต เลเซอร์กำจัดขน แบบเย็น",0,ร้านแนะนำ,4.9231,492.0,จังหวัดกรุงเทพมหานคร,https://cf.shopee.co.th/file/146bad36c08b8de094f47ff30ead4514_tn,https://shopee.co.th//Deparee-(พร้อมส่ง-ประกัน-1-ปี)-NEW-ICECOOL-Premium-3in1-1-000-000-ซอต-เลเซอร์กำจัดขน-แบบเย็น-i.16942542.3959126240?ads_keyword=deparee%20ipl&adsid=8490720&campaignid=4768265&position=0,3959126240
2,"(พร้อมส่ง) NEW EXCLUSIVE 1,000,000 Shots Deparee เครื่องเลเซอร์ กำจัดขนถาวร สูตรเย็น IPL Hair Removal Icecool",0,ร้านแนะนำ,4.8804,388.0,จังหวัดกรุงเทพมหานคร,https://cf.shopee.co.th/file/b3b44aeab5f62e0ea03ea1dbe9fe3060_tn,https://shopee.co.th//(พร้อมส่ง)-NEW-EXCLUSIVE-1-000-000-Shots-Deparee-เครื่องเลเซอร์-กำจัดขนถาวร-สูตรเย็น-IPL-Hair-Removal-Icecool-i.376392074.4577487958?ads_keyword=ipl&adsid=7325548&campaignid=3894848&position=1,4577487958
3,"(พร้อมส่ง) 800,000 Shots Deparee เครื่องเลเซอร์ กำจัดขนถาวร  IPL Hair Removal (เปลี่ยนหัวได้)",0,ร้านแนะนำ,4.9231,61.0,จังหวัดกรุงเทพมหานคร,https://cf.shopee.co.th/file/931cc27f0d88a9945b5231d53dfbcbeb_tn,https://shopee.co.th//(พร้อมส่ง)-800-000-Shots-Deparee-เครื่องเลเซอร์-กำจัดขนถาวร-IPL-Hair-Removal-(เปลี่ยนหัวได้)-i.376392074.7878153419?ads_keyword=ipl%20%E0%B8%AB%E0%B8%99%E0%B9%89%E0%B8%B2%E0%B9%83%E0%B8%AA&adsid=7325534&campaignid=3894847&position=2,7878153419
4,2021 เครื่องเลเซอร์กําจัดขนถาวร IPL + ทำหน้าใส (990000ช็อต ) เครื่อง ipl เลเซอร์หน้าใส กำจัดขน,0,general,0.0,no sold,ต่างประเทศ,https://cf.shopee.co.th/file/9da1fe98633da87c3c779b88359830f9_tn,https://shopee.co.th//2021-เครื่องเลเซอร์กําจัดขนถาวร-IPL-ทำหน้าใส-(990000ช็อต-)-เครื่อง-ipl-เลเซอร์หน้าใส-กำจัดขน-i.184808095.9970981152?ads_keyword=%E0%B9%80%E0%B8%A5%E0%B9%80%E0%B8%8B%E0%B8%AD%E0%B8%A3%E0%B9%8C&adsid=10581990&campaignid=6071673&position=3,9970981152
5,ยางรัดผมผ้าไหม mulberry แท้ 💯% pure mulberry silk scrunchie จาก Italy🇮🇹*รับประกันยางยืดย้วยยาก,0,ร้านแนะนำ,4.9167,82.0,จังหวัดปทุมธานี,https://cf.shopee.co.th/file/415897faf854e1b9f25c3c24220864ea_tn,https://shopee.co.th//ยางรัดผมผ้าไหม-mulberry-แท้-💯-pure-mulberry-silk-scrunchie-จาก-Italy🇮🇹*รับประกันยางยืดย้วยยาก-i.44951119.7489856941?ads_keyword=slip%20silk&adsid=10048445&campaignid=5628705&position=4,7489856941
6,เคราตินบำรุงผม Raip R2 Liquid Silk Keratin Treatment,0,ร้านแนะนำ,4.8889,170.0,จังหวัดกรุงเทพมหานคร,https://cf.shopee.co.th/file/7f7a5fa88c821b1f603ff4d2cffbf7f9_tn,https://shopee.co.th//เคราตินบำรุงผม-Raip-R2-Liquid-Silk-Keratin-Treatment-i.13643092.3580888276?position=5,3580888276
7,BEARING smooth & Silk Lotion สเปรย์โลชั่นบำรุงขนและผิวหนัง เพื่อขนนุ่มสลวย ลดขนพันกัน ผิวหนังมีสุขภาพที่ดี 250 ml.,0,ร้านแนะนำ,4.7826,54.0,จังหวัดกรุงเทพมหานคร,https://cf.shopee.co.th/file/01550a906a3aa854ef415031eacd2403_tn,https://shopee.co.th//BEARING-smooth-Silk-Lotion-สเปรย์โลชั่นบำรุงขนและผิวหนัง-เพื่อขนนุ่มสลวย-ลดขนพันกัน-ผิวหนังมีสุขภาพที่ดี-250-ml.-i.237542584.3847927030?position=6,3847927030
8,แป้ง Q nic care micro silk two way powder คิวนิคแคร์ ไมโคร ซิลค์ 13 g.,0,general,4.9655,220.0,จังหวัดมุกดาหาร,https://cf.shopee.co.th/file/b848f0a97f83b210f3b176e0542c1c30_tn,https://shopee.co.th//แป้ง-Q-nic-care-micro-silk-two-way-powder-คิวนิคแคร์-ไมโคร-ซิลค์-13-g.-i.418558705.8542010175?position=7,8542010175
9,เซรั่มเคลือบเงา Berina Super Silk Hair Serum 100ml เบอริน่า ซุปเปอร์ซิลค์แฮร์เซรั่ม เซรั่มเคลือบเงาเส้นผม,0,general,4.8621,100.0,จังหวัดชลบุรี,https://cf.shopee.co.th/file/a9f540cd262b755b4df202b956ca618a_tn,https://shopee.co.th//เซรั่มเคลือบเงา-Berina-Super-Silk-Hair-Serum-100ml-เบอริน่า-ซุปเปอร์ซิลค์แฮร์เซรั่ม-เซรั่มเคลือบเงาเส้นผม-i.160705494.9715598539?position=8,9715598539
10,PUREEN เพียวรีน ฟองน้ำธรรมชาติแท้100% ชนิดFine Silk ฟองน้ำอาบน้ำเด็ก Size S/M,0,ร้านแนะนำ,4.7569,353.0,จังหวัดกาฬสินธุ์,https://cf.shopee.co.th/file/dd845ae50999f81ce3e258e23fb283e4_tn,https://shopee.co.th//PUREEN-เพียวรีน-ฟองน้ำธรรมชาติแท้100-ชนิดFine-Silk-ฟองน้ำอาบน้ำเด็ก-Size-S-M-i.29529402.1922847834?position=9,1922847834
