num,id,name,price,rating,review,img_src,url,rank
1,B01MRBMQKN,"Dr. Mercola - Black Garlic, 30 Servings - (60 Capsules)",out of stock,4.7,"1,164",https://m.media-amazon.com/images/I/71cI23SJ7YL._AC_UL320_.jpg,https://www.amazon.com//Dr-Mercola-Fermented-Black-Garlic/dp/B01MRBMQKN/ref=sr_1_1?dchild=1&keywords=garlic+Fermented&qid=1621593824&sr=8-1,Amazon's 
2,B07KMBF2SX,"Soulmate Organic Black Garlic 250g Whole Black Garlic Aged for full Fermented 90 Days, NON-GMO Made in California, High in Antioxidants One-Clove Organic Black Garlic 8.82 Ounce (250g)",out of stock,4.6,649,https://m.media-amazon.com/images/I/61woPexa9hL._AC_UL320_.jpg,https://www.amazon.com//SOULMATE-Fermented-California-Antioxidants-One-Clove/dp/B07KMBF2SX/ref=sr_1_2?dchild=1&keywords=garlic+Fermented&qid=1621593824&sr=8-2,not be a best
3,B08NPF8J2H,"Homtiem Black Garlic 8.82 Oz (250g.), Whole Black Garlic Fermented for 90 Days,Super Foods, Non-GMOs, Non-Additives, High in Antioxidants, Ready to Eat for Snack Healthy, Healthy Recipes",out of stock,4.6,187,https://m.media-amazon.com/images/I/81lb9uYyU7L._AC_UL320_.jpg,https://www.amazon.com//Homtiem-Fermented-Non-GMOs-Non-Additives-Antioxidants/dp/B08NPF8J2H/ref=sr_1_3?dchild=1&keywords=garlic+Fermented&qid=1621593824&sr=8-3,not be a best
4,B08MV5MYC6,APEXY - Whole Black Single Clove Garlic - Fermented for 90 Days - Naturally Aged - Single Clove - Gourmet Superfood - Ready to Eat - For Snack or Cooking - Halal Certified - 8.5 Oz Jar - Pack of 1,out of stock,4.5,81,https://m.media-amazon.com/images/I/81z2s3ly7VS._AC_UL320_.jpg,https://www.amazon.com//APEXY-Fermented-Naturally-Superfood-Certified/dp/B08MV5MYC6/ref=sr_1_4?dchild=1&keywords=garlic+Fermented&qid=1621593824&sr=8-4,not be a best
5,B07QM4BY8H,"ONETANG Black Garlic 250g, Whole Black Garlic Fermented for 90 days, 0 additives, high in antioxidants 8.81 oz（pack of 2）",out of stock,4.5,"1,022",https://m.media-amazon.com/images/I/71PH+ZtnBFL._AC_UL320_.jpg,https://www.amazon.com//ONETANG-Fermented-additives-antioxidants-oz%EF%BC%88pack/dp/B07QM4BY8H/ref=sr_1_5?dchild=1&keywords=garlic+Fermented&qid=1621593824&sr=8-5,not be a best
6,B083G9N8YV,"Dr. Mercola Solspring™ Organic Fermented Black Garlic Puree, About 33 Servings (7 oz.), Non GMO, Soy Free, Gluten Free, USDA Organic",out of stock,4.5,64,https://m.media-amazon.com/images/I/71xlijtrwyL._AC_UL320_.jpg,https://www.amazon.com//Dr-Mercola-Solspring-Fermented-Servings/dp/B083G9N8YV/ref=sr_1_6?dchild=1&keywords=garlic+Fermented&qid=1621593824&sr=8-6,not be a best
7,B08ZYPVQJS,APEXY - Whole Black Garlic - Fermented for 90 Days - Naturally Aged - Peeled Single Cloves - Gourmet Superfood - Ready to Eat - For Snack or Cooking - Halal Certified - 32 Oz / Jar - Pack of 2,out of stock,5.0,2,https://m.media-amazon.com/images/I/81g19WbRlhS._AC_UL320_.jpg,https://www.amazon.com//APEXY-Fermented-Naturally-Superfood-Certified/dp/B08ZYPVQJS/ref=sr_1_7?dchild=1&keywords=garlic+Fermented&qid=1621593824&sr=8-7,not be a best
8,B08MV7TDVV,APEXY - Whole Black Garlic - Fermented for 90 Days - Naturally Aged - Peeled Single Cloves - Gourmet Superfood - Ready to Eat - For Snack or Cooking - Halal Certified - 7.02 Oz Jar - Pack of 1,out of stock,4.7,25,https://m.media-amazon.com/images/I/81cUOOAqSjS._AC_UL320_.jpg,https://www.amazon.com//APEXY-Fermented-Naturally-Superfood-Certified/dp/B08MV7TDVV/ref=sr_1_8?dchild=1&keywords=garlic+Fermented&qid=1621593824&sr=8-8,not be a best
9,B08CT4F4M4,"3 Pack - Vitamatic Fermented Black Garlic Extract 1000 mg 60 Capsules - Non-GMO, Gluten Free - Antioxidant and Cholesterol Support (Total 180 Capsules)",out of stock,4.5,60,https://m.media-amazon.com/images/I/71SqiU7UxfL._AC_UL320_.jpg,https://www.amazon.com//Pack-Vitamatic-Fermented-Antioxidant-Cholesterol/dp/B08CT4F4M4/ref=sr_1_9?dchild=1&keywords=garlic+Fermented&qid=1621593824&sr=8-9,not be a best
10,B07PKQLHWK,"SOULMATE Organic Peeled Black Garlic 200g Whole Peeled Black Garlic Aged for full Fermented 90 Days, NON-GMO Made in California,Healthy Snack Ready to Eat 7.05 Ounce(200g)",out of stock,4.6,471,https://m.media-amazon.com/images/I/61Ojj2GlWdL._AC_UL320_.jpg,https://www.amazon.com//SOULMATE-Organic-Fermented-NON-GMO-California/dp/B07PKQLHWK/ref=sr_1_10?dchild=1&keywords=garlic+Fermented&qid=1621593824&sr=8-10,not be a best
11,B07KM653T9,"Aged Black Garlic 1500 mg | 60 Capsules | Fermented Extract | Non-GMO, Gluten Free | by Horbaach",out of stock,4.6,292,https://m.media-amazon.com/images/I/81IbabLCKLL._AC_UL320_.jpg,https://www.amazon.com//Horbaach-Black-Garlic-1000-Capsules/dp/B07KM653T9/ref=sr_1_11?dchild=1&keywords=garlic+Fermented&qid=1621593824&sr=8-11,not be a best
