num,id,name,price,rating,review,img_src,url,rank
1,B07QW1GKR1,"Amazon Brand - Happy Belly Granulated Garlic, 24 Ounces",out of stock,4.8,"8,025",https://m.media-amazon.com/images/I/71gyuQlY0FL._AC_UL320_.jpg,https://www.amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A03179573O57MVK53H328&url=%2FAmazon-Brand-Granulated-Garlic-Ounces%2Fdp%2FB07QW1GKR1%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3Dgarlic%2BGranulated%26qid%3D1621592739%26sr%3D8-1-spons%26psc%3D1&qualifier=1621592739&id=7795165248872897&widgetName=sp_atf,Amazon's 
2,B07QW1GKR1,"Amazon Brand - Happy Belly Granulated Garlic, 24 Ounces",out of stock,4.8,"8,025",https://m.media-amazon.com/images/I/71gyuQlY0FL._AC_UL320_.jpg,https://www.amazon.com//Amazon-Brand-Granulated-Garlic-Ounces/dp/B07QW1GKR1/ref=sr_1_2?dchild=1&keywords=garlic+Granulated&qid=1621592739&sr=8-2,Amazon's 
3,B001PQMJIY,"McCormick 930443 Granulated Garlic, 26 Oz",out of stock,4.8,"6,585",https://m.media-amazon.com/images/I/81xzpn+wYuL._AC_UL320_.jpg,https://www.amazon.com//McCormick-Granulated-Garlic-26-oz/dp/B001PQMJIY/ref=sr_1_3?dchild=1&keywords=garlic+Granulated&qid=1621592739&sr=8-3,not be a best
4,B06Y5SHSR7,Badia Garlic Granulated 1.5 lbs (Pack of 1),out of stock,4.9,128,https://m.media-amazon.com/images/I/71dssFXGlML._AC_UL320_.jpg,https://www.amazon.com//Badia-Garlic-Granulated-1-5-Pack/dp/B06Y5SHSR7/ref=sr_1_4?dchild=1&keywords=garlic+Granulated&qid=1621592739&sr=8-4,not be a best
5,B000YV4YB6,"McCormick Culinary Granulated Garlic, 26 oz",out of stock,4.9,302,https://m.media-amazon.com/images/I/71POzLujXmL._AC_UL320_.jpg,https://www.amazon.com//McCormick-Culinary-Granulated-Garlic-26/dp/B000YV4YB6/ref=sr_1_5?dchild=1&keywords=garlic+Granulated&qid=1621592739&sr=8-5,not be a best
6,B06ZZ6YDKY,Badia Garlic Granulated 1.5 lbs Pack of 2,out of stock,4.8,187,https://m.media-amazon.com/images/I/81ndBaHWWKL._AC_UL320_.jpg,https://www.amazon.com//Badia-Garlic-Granulated-1-5-Pack/dp/B06ZZ6YDKY/ref=sr_1_6?dchild=1&keywords=garlic+Granulated&qid=1621592739&sr=8-6,not be a best
7,B07VVGKHLH,"Amazon Brand - Happy Belly Garlic, Granulated, 3.9 Ounces",out of stock,4.7,"1,834",https://m.media-amazon.com/images/I/71MHKIN8lQL._AC_UL320_.jpg,https://www.amazon.com//Amazon-Brand-Garlic-Granulated-Ounces/dp/B07VVGKHLH/ref=sr_1_7?dchild=1&keywords=garlic+Granulated&qid=1621592739&sr=8-7,not be a best
8,B07XYYN3XR,"US-FARMERS Natural Premium Quality Granulated Garlic in Jar, 7.5 Lbs",$34.80,4.7,115,https://m.media-amazon.com/images/I/81S91LaAsML._AC_UL320_.jpg,https://www.amazon.com//US-FARMERS-Natural-Premium-Quality-Granulated/dp/B07XYYN3XR/ref=sr_1_8?dchild=1&keywords=garlic+Granulated&qid=1621592739&sr=8-8,not be a best
9,B0049TZA26,"Kirkland Signature California granulated garlic, 18 oz",out of stock,4.8,978,https://m.media-amazon.com/images/I/91mBYu+qD5L._AC_UL320_.jpg,https://www.amazon.com//Kirkland-Signature-California-granulated-garlic/dp/B0049TZA26/ref=sr_1_9?dchild=1&keywords=garlic+Granulated&qid=1621592739&sr=8-9,not be a best
10,B00451XMWS,"Badia Granulated Garlic, 1.5-pounds (Pack of 6)",$27.54,4.7,81,https://m.media-amazon.com/images/I/71jpRIboENS._AC_UL320_.jpg,https://www.amazon.com//Badia-Granulated-Garlic-1-5-pounds-Pack/dp/B00451XMWS/ref=sr_1_10?dchild=1&keywords=garlic+Granulated&qid=1621592739&sr=8-10,not be a best
11,B082ZT2F9Z,"The Spice Way Granulated Garlic - Domestic, US Grown ( 8 oz ) resealable bag",out of stock,4.7,422,https://m.media-amazon.com/images/I/815ZEYynlOL._AC_UL320_.jpg,https://www.amazon.com//Spice-Way-Granulated-Garlic-resealable/dp/B082ZT2F9Z/ref=sr_1_11?dchild=1&keywords=garlic+Granulated&qid=1621592739&sr=8-11,not be a best
12,B00BHHHD5K,Chef's Quality Granulated Garlic 7 LB,out of stock,4.8,15,https://m.media-amazon.com/images/I/510YTmD--8L._AC_UL320_.jpg,https://www.amazon.com//Chefs-Quality-Granulated-Garlic-LB/dp/B00BHHHD5K/ref=sr_1_12?dchild=1&keywords=garlic+Granulated&qid=1621592739&sr=8-12,not be a best
13,B07NQQ9XR5,Gel Spice Granulated Garlic - Bulk Size - 44.9 OZ,out of stock,4.8,249,https://m.media-amazon.com/images/I/81O-gQmw4RL._AC_UL320_.jpg,https://www.amazon.com//Gel-Spice-Granulated-Garlic-Bulk/dp/B07NQQ9XR5/ref=sr_1_13?dchild=1&keywords=garlic+Granulated&qid=1621592739&sr=8-13,not be a best
14,B07VVGKHLH,"Amazon Brand - Happy Belly Garlic, Granulated, 3.9 Ounces",out of stock,4.7,"1,834",https://m.media-amazon.com/images/I/71MHKIN8lQL._AC_UL320_.jpg,https://www.amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A076064417MB79M0GI91W&url=%2FAmazon-Brand-Garlic-Granulated-Ounces%2Fdp%2FB07VVGKHLH%2Fref%3Dsr_1_14_sspa%3Fdchild%3D1%26keywords%3Dgarlic%2BGranulated%26qid%3D1621592739%26sr%3D8-14-spons%26psc%3D1&qualifier=1621592739&id=7795165248872897&widgetName=sp_mtf,not be a best
15,B08QDXK6K1,"US-FARMERS Natural Premium Quality Granulated Garlic in Jar, 7 Lbs",$31.99,4.9,10,https://m.media-amazon.com/images/I/81O9TxwUerL._AC_UL320_.jpg,https://www.amazon.com//US-FARMERS-Natural-Premium-Quality-Granulated/dp/B08QDXK6K1/ref=sr_1_15?dchild=1&keywords=garlic+Granulated&qid=1621592739&sr=8-15,not be a best
16,B001EQ56NA,"McCormick Garlic, Granulated, 26-Ounce Units (Pack of 2)",out of stock,5.0,8,https://m.media-amazon.com/images/I/81HbBBJ4jtS._AC_UL320_.jpg,https://www.amazon.com//McCormick-Garlic-Granulated-26-Ounce-Units/dp/B001EQ56NA/ref=sr_1_16?dchild=1&keywords=garlic+Granulated&qid=1621592739&sr=8-16,not be a best
17,B01N3SF6ZF,Olde Thompson 1400-18 Granulated Garlic 9.1 Oz,$4.98,4.8,263,https://m.media-amazon.com/images/I/71fVqtLH6CL._AC_UL320_.jpg,https://www.amazon.com//Olde-Thompson-1400-18-Granulated-Garlic/dp/B01N3SF6ZF/ref=sr_1_17?dchild=1&keywords=garlic+Granulated&qid=1621592739&sr=8-17,not be a best
