num,id,name,price,rating,review,img_src,url,rank
1,B005WF768C,"Colavita Roasted Garlic Extra Virgin Olive Oil, Low FODMAP, 32 Fl Oz (Pack of 1)",out of stock,4.8,"4,728",https://m.media-amazon.com/images/I/61iqeFPSQeL._AC_UL320_.jpg,https://www.amazon.com//Colavita-Roasted-Garlic-Extra-Virgin/dp/B005WF768C/ref=sr_1_1?dchild=1&keywords=garlic+Virgin&qid=1621593565&sr=8-1,Amazon's 
2,B014A6G22E,"Mantova Garlic Extra Virgin Olive Oil (EVOO), Cold-Pressed, Imported from Italy. Topping for salad, vegetables, pasta salad. Perfect for dipping Italian bread or pan frying. (2-Pack)",$33.99,4.8,602,https://m.media-amazon.com/images/I/51V++Vl+A9L._AC_UL320_.jpg,https://www.amazon.com//Mantova-Garlic-Italian-Virgin-Bottles/dp/B014A6G22E/ref=sr_1_2?dchild=1&keywords=garlic+Virgin&qid=1621593565&sr=8-2,not be a best
3,B01AO4AUUQ,"Garlic Gold Organic Garlic Granules in Extra Virgin Olive Oil, 6.4 oz Pack of 2",$21.95,4.6,105,https://m.media-amazon.com/images/I/81A9XH+UhYL._AC_UL320_.jpg,https://www.amazon.com//Garlic-Granules-Certified-Gold-Friendly/dp/B01AO4AUUQ/ref=sr_1_3?dchild=1&keywords=garlic+Virgin&qid=1621593565&sr=8-3,not be a best
4,B001HTN1DQ,"Garlic Gold, Certified Organic Extra Virgin Olive Oil - Infused with toasted Garlic, Low FODMAP, (Pack of 6)",$56.95,4.8,82,https://m.media-amazon.com/images/I/81zjLfiupmL._AC_UL320_.jpg,https://www.amazon.com//Certified-Organic-Extra-Virgin-Olive/dp/B001HTN1DQ/ref=sr_1_4?dchild=1&keywords=garlic+Virgin&qid=1621593565&sr=8-4,not be a best
5,B091KL2SY6,Extra Virgin - Season 3,out of stock,no rating,no review,https://m.media-amazon.com/images/I/711kyIGoGoL._AC_UL320_.jpg,https://www.amazon.com//Road-Trip-to-Siena/dp/B091KNCR9V/ref=sr_1_5?dchild=1&keywords=garlic+Virgin&qid=1621593565&sr=8-5,not be a best
6,B001HTP19S,"Garlic Gold Organic Certified Garlic Granules in Extra Virgin Olive Oil, Keto & Paleo Friendly, 3.75 oz glass jar (Pack of 6)",$43.95,4.0,7,https://m.media-amazon.com/images/I/518KAvkhUUL._AC_UL320_.jpg,https://www.amazon.com//Garlic-Granules-Certified-Gold-Friendly/dp/B001HTP19S/ref=sr_1_6?dchild=1&keywords=garlic+Virgin&qid=1621593565&sr=8-6,not be a best
7,1501163795,The Sirtfood Diet,$15.38,4.1,"1,748",https://m.media-amazon.com/images/I/61GtTfzzI5L._AC_UL320_.jpg,https://www.amazon.com//Sirtfood-Diet-Aidan-Goggins/dp/1501163795/ref=sr_1_7?dchild=1&keywords=garlic+Virgin&qid=1621593565&sr=8-7,not be a best
8,B08F6F2KN7,California Olive Ranch Garlic Infused Extra Virgin Olive Oil Blend - High Heat Cooking & Grilling Cold Pressed EVOO - Roasted Garlic Flavor - 750mL,$13.99,4.8,"2,129",https://m.media-amazon.com/images/I/51UBFSRTAyL._AC_UL320_.jpg,https://www.amazon.com//California-Olive-Ranch-Garlic-Infused/dp/B08F6F2KN7/ref=sr_1_8?dchild=1&keywords=garlic+Virgin&qid=1621593565&sr=8-8,not be a best
9,B0081JBNMG,"Certified Organic Extra Virgin Olive Oil - Infused with toasted Garlic, Low Fod-map, by Garlic Gold, 250 ML (Pack of 3)",$34.95,4.6,116,https://m.media-amazon.com/images/I/81sdM7DpbYL._AC_UL320_.jpg,https://www.amazon.com//Certified-Organic-Extra-Virgin-Olive/dp/B0081JBNMG/ref=sr_1_9?dchild=1&keywords=garlic+Virgin&qid=1621593565&sr=8-9,not be a best
10,B01LAX5HLC,"Certified Organic Extra Virgin Olive Oil - Infused with toasted Garlic, Low FODMAP, by Garlic Gold, 250 ML (Pack of 2)",$23.95,4.7,502,https://m.media-amazon.com/images/I/71FIqyNb8cL._AC_UL320_.jpg,https://www.amazon.com//Certified-Organic-Extra-Virgin-Olive/dp/B01LAX5HLC/ref=sr_1_10?dchild=1&keywords=garlic+Virgin&qid=1621593565&sr=8-10,not be a best
