num,id,name,price,rating,review,img_src,url,rank
1,B07P5JHC6B,"Fresh Gourmet Crispy Lightly Seasoned Crispy Garlic | 3 Ounce, Pack of 6 | Low Carb | Crunchy Snack and Salad Topper",out of stock,4.6,"3,046",https://m.media-amazon.com/images/I/61XlqQAFqyL._AC_UL320_.jpg,https://www.amazon.com//Fresh-Gourmet-Crispy-Lightly-Seasoned/dp/B07P5JHC6B/ref=sr_1_1?dchild=1&keywords=garlic+gourmet+food&qid=1621592427&sr=8-1,Best Seller
2,B006CFVJ1Q,"Fresh Gourmet Garlic Pepper Crispy Onions | 3.5 Ounce, Pack of 6 | Low Carb | Crunchy Snack and Salad Topper",out of stock,4.7,"2,801",https://m.media-amazon.com/images/I/61obNStkfTL._AC_UL320_.jpg,https://www.amazon.com//Fresh-Gourmet-Crispy-Onions-Garlic/dp/B006CFVJ1Q/ref=sr_1_2?dchild=1&keywords=garlic+gourmet+food&qid=1621592427&sr=8-2,Amazon's 
3,B005SSM4B2,"Gourmet Fries Seasonings Bottle, Garlic Parmesan, 9 Ounce",out of stock,4.3,"1,629",https://m.media-amazon.com/images/I/61J4GPRqJxL._AC_UL320_.jpg,https://www.amazon.com//Gourmet-Fries-Seasonings-Bottle-Parmesan/dp/B005SSM4B2/ref=sr_1_3?dchild=1&keywords=garlic+gourmet+food&qid=1621592427&sr=8-3,not be a best
4,B017WFFP9Q,Copperleaf Gourmet Foods Garlic Pepper with a Hint of Lime Seasoning | Fresh and Savory | Perfect Addition to Meats and other Dishes | 4.125 oz (116.9g),out of stock,5.0,1,https://m.media-amazon.com/images/I/41foIj1Kl1L._AC_UL320_.jpg,https://www.amazon.com//CopperLeaf-Gourmet-Foods-Garlic-Seasoning/dp/B017WFFP9Q/ref=sr_1_4?dchild=1&keywords=garlic+gourmet+food&qid=1621592427&sr=8-4,not be a best
5,B08LMPNSJQ,"Eat Prime Foods Stuffed Green Olives With Garlic | Gourmet Stuffed Green Olives Perfect For Salads, Cheese Table, Cocktails | Premium Class 80/100 Stuffed Olives | Garlic stuffed olives",out of stock,4.1,48,https://m.media-amazon.com/images/I/51LgTjSAU6L._AC_UL320_.jpg,https://www.amazon.com//Stuffed-Gourmet-Perfect-Cocktails-Premium/dp/B08LMPNSJQ/ref=sr_1_5?dchild=1&keywords=garlic+gourmet+food&qid=1621592427&sr=8-5,not be a best
6,B006CFVVHS,"Fresh Gourmet Garlic Ginger Wonton Strips | 3.5 Ounce, Pack of 9 | Low Carb | Crunchy Snack and Salad Topper",out of stock,4.7,"3,051",https://m.media-amazon.com/images/I/81lxvDSdnXL._AC_UL320_.jpg,https://www.amazon.com//Fresh-Gourmet-Strips-Garlic-Ginger/dp/B006CFVVHS/ref=sr_1_6?dchild=1&keywords=garlic+gourmet+food&qid=1621592427&sr=8-6,not be a best
7,B07DCW9ZGK,"Blue Diamond Almonds Gourmet Garlic, Herb and Olive Oil, 5 Ounces",out of stock,4.6,"3,604",https://m.media-amazon.com/images/I/81nji5BP9BL._AC_UL320_.jpg,https://www.amazon.com//Blue-Diamond-Almonds-Gourmet-Garlic/dp/B07DCW9ZGK/ref=sr_1_7?dchild=1&keywords=garlic+gourmet+food&qid=1621592427&sr=8-7,not be a best
8,B01MYGYUAJ,"Dave's Gourmet Creamy Garlic Red Pepper Hot Sauce, 8 Ounce (Pack of 3)",$24.99,4.9,141,https://m.media-amazon.com/images/I/81itvq7GUrL._AC_UL320_.jpg,https://www.amazon.com//Daves-Gourmet-Creamy-Garlic-Pepper/dp/B01MYGYUAJ/ref=sr_1_8?dchild=1&keywords=garlic+gourmet+food&qid=1621592427&sr=8-8,not be a best
9,B002BFCNAC,"Leifheit Comfortline Gourmet Garlic Slicer | Finely Cut and Slice Vegetables,white/red",$13.57,4.5,828,https://m.media-amazon.com/images/I/61e4cb9AhzL._AC_UL320_.jpg,https://www.amazon.com//Leifheit-03046-Comfortline-Gourmet-Vegetables/dp/B002BFCNAC/ref=sr_1_9?dchild=1&keywords=garlic+gourmet+food&qid=1621592427&sr=8-9,not be a best
10,B0883WCHBF,"Second House Gourmet Foods Authentic Toum Creamy Garlic Dip Powder (1.1 LB Bag, Makes 12.18 LBS, 55 Servings) Just Add Water and Oil.",out of stock,4.2,46,https://m.media-amazon.com/images/I/7177Ggd74UL._AC_UL320_.jpg,https://www.amazon.com//Second-House-Gourmet-Foods-Authentic/dp/B0883WCHBF/ref=sr_1_10?dchild=1&keywords=garlic+gourmet+food&qid=1621592427&sr=8-10,not be a best
11,B00AKKUWE4,"Smoked Garlic Fine Sea Salt - All-Natural Sea Salt Blended with Minced Garlic, Slowly Smoked Over Alderwood - Gluten Free, No MSG, Non-GMO - Cooking & Finishing Salt - 4 oz. Stackable Jar",$14.99,4.5,"1,193",https://m.media-amazon.com/images/I/71z++lJHBNL._AC_UL320_.jpg,https://www.amazon.com//Smoked-Garlic-Fine-Sea-Salt/dp/B00AKKUWE4/ref=sr_1_11?dchild=1&keywords=garlic+gourmet+food&qid=1621592427&sr=8-11,not be a best
12,B08ZYPVQJS,APEXY - Whole Black Garlic - Fermented for 90 Days - Naturally Aged - Peeled Single Cloves - Gourmet Superfood - Ready to Eat - For Snack or Cooking - Halal Certified - 32 Oz / Jar - Pack of 2,out of stock,5.0,2,https://m.media-amazon.com/images/I/81g19WbRlhS._AC_UL320_.jpg,https://www.amazon.com//APEXY-Fermented-Naturally-Superfood-Certified/dp/B08ZYPVQJS/ref=sr_1_12?dchild=1&keywords=garlic+gourmet+food&qid=1621592427&sr=8-12,not be a best
13,B08872DQ6F,"Blue Diamond Gourmet Almonds Garlic, Herb, and Olive Oil - 20 oz Per Bag - 2 Pack (40 oz) or 3 Pack (60 oz) - Bulk Blue Diamond Almonds - Non GMO (2 Pack)",out of stock,4.8,61,https://m.media-amazon.com/images/I/81oGRpPXhNL._AC_UL320_.jpg,https://www.amazon.com//Diamond-Gourmet-Almonds-Garlic-Olive/dp/B08872DQ6F/ref=sr_1_13?dchild=1&keywords=garlic+gourmet+food&qid=1621592427&sr=8-13,not be a best
14,B0000DID5Z,"Dave's Gourmet Hot Sauce, Roasted Garlic, 5 Ounces",out of stock,4.6,190,https://m.media-amazon.com/images/I/71tAbk7OamL._AC_UL320_.jpg,https://www.amazon.com//Daves-Gourmet-Sauce-Roasted-Garlic/dp/B0000DID5Z/ref=sr_1_14?dchild=1&keywords=garlic+gourmet+food&qid=1621592427&sr=8-14,not be a best
15,B07F8C1JPR,"Frontera Gourmet Mexican Simmer Marinade Sauce Pouch 4 Flavor Variety Bundle, 1 each: Red Chile Barbacoa, Classic Fajitas, Chipotle Garlic Taco, Carne Asada (6-8 Ounces)",$22.95,4.7,22,https://m.media-amazon.com/images/I/71aV+RvvY7L._AC_UL320_.jpg,https://www.amazon.com//Frontera-Gourmet-Mexican-Marinade-Variety/dp/B07F8C1JPR/ref=sr_1_15?dchild=1&keywords=garlic+gourmet+food&qid=1621592427&sr=8-15,not be a best
16,B006CFVN1M,"Fresh Gourmet Premium Croutons | Cheese & Garlic | 5 Ounce, Pack of 6 | Crunchy Salad Topper",out of stock,4.6,810,https://m.media-amazon.com/images/I/61ZHxQ2pUYL._AC_UL320_.jpg,https://www.amazon.com//Fresh-Gourmet-Premium-Croutons-Cheese/dp/B006CFVN1M/ref=sr_1_16?dchild=1&keywords=garlic+gourmet+food&qid=1621592427&sr=8-16,not be a best
17,B07NQRZCQD,"Le Sauce Gourmet Lemon White Wine Garlic Finishing Sauce, low sugar, great on chicken, vegetables, fish, foodie approved. Cream, butter, yum (2-Pack)",$17.97,3.9,419,https://m.media-amazon.com/images/I/81HMWIh0BDL._AC_UL320_.jpg,https://www.amazon.com//Sauce-Gourmet-Finishing-vegetables-approved/dp/B07NQRZCQD/ref=sr_1_17?dchild=1&keywords=garlic+gourmet+food&qid=1621592427&sr=8-17,not be a best
18,B08NPF8J2H,"Homtiem Black Garlic 8.82 Oz (250g.), Whole Black Garlic Fermented for 90 Days,Super Foods, Non-GMOs, Non-Additives, High in Antioxidants, Ready to Eat for Snack Healthy, Healthy Recipes",out of stock,4.6,187,https://m.media-amazon.com/images/I/81lb9uYyU7L._AC_UL320_.jpg,https://www.amazon.com//Homtiem-Fermented-Non-GMOs-Non-Additives-Antioxidants/dp/B08NPF8J2H/ref=sr_1_18?dchild=1&keywords=garlic+gourmet+food&qid=1621592427&sr=8-18,not be a best
19,B084F5ZJVX,"Blue Diamond Almonds Garlic, Herb & Olive Oil, Size 20 OZ - No Artificial Ingredients Kosher Vegan Yeast Free",$23.50,4.8,448,https://m.media-amazon.com/images/I/81LORqwgqXL._AC_UL320_.jpg,https://www.amazon.com//Blue-Diamond-Almonds-Garlic-Olive/dp/B084F5ZJVX/ref=sr_1_19?dchild=1&keywords=garlic+gourmet+food&qid=1621592427&sr=8-19,not be a best
20,B07HMKC48V,"LEMONETTE Sugar Free, Low Cal, Low Fat Salad Dressing: Lemon Garlic 3 Gourmet 12oz bottles - Keto, Gluten Free, Vinegar Free, Soy Free, Dairy Free, Canola Free, Vegan Certified",$29.99,4.1,277,https://m.media-amazon.com/images/I/81W+50HB4VL._AC_UL320_.jpg,https://www.amazon.com//LEMONETTE-DRESSINGS-Dressing-Marinade-LEMON-GARLIC/dp/B07HMKC48V/ref=sr_1_20?dchild=1&keywords=garlic+gourmet+food&qid=1621592427&sr=8-20,not be a best
21,B07N7Z3GK8,"Mizzuco Black Garlic, 920G/32.45 OZ WHOLE Black Garlic Natural Fermented for 90 days Healthy Snack Ready to Eat or Sauce",out of stock,4.4,252,https://m.media-amazon.com/images/I/71BtuC93rBL._AC_UL320_.jpg,https://www.amazon.com//Mizzuco-Organic-Natural-Fermented-Healthy/dp/B07N7Z3GK8/ref=sr_1_21?dchild=1&keywords=garlic+gourmet+food&qid=1621592427&sr=8-21,not be a best
22,B074PCQ4CR,"Black Garlic ""Organic American"" Whole Bulbs (2 per package) ...Aged and Fermented 120 Days",$10.99,4.2,86,https://m.media-amazon.com/images/I/713Itw6T9BL._AC_UL320_.jpg,https://www.amazon.com//Black-Garlic-American-grams-Aged-Fermented/dp/B074PCQ4CR/ref=sr_1_22?dchild=1&keywords=garlic+gourmet+food&qid=1621592427&sr=8-22,not be a best
23,B000UXW98S,"Roland Foods Pitted Greek Country Olive Mix, Specialty Imported Food, 4 Lb 6 Oz Jar",out of stock,4.2,411,https://m.media-amazon.com/images/I/61P+rVrnODL._AC_UL320_.jpg,https://www.amazon.com//Roland-Olives-Pitted-Greek-Country/dp/B000UXW98S/ref=sr_1_23?dchild=1&keywords=garlic+gourmet+food&qid=1621592427&sr=8-23,not be a best
24,B071NM4958,"Ass Kickin' Hot and Spicy Salt Gift Set – 1.1 oz. (9 Pack Variety) - Perfect Flavored Salt for Popcorn Seasoning, Margarita Salt and French Fry Seasoning - Premium Gourmet Gift Set",out of stock,4.5,608,https://m.media-amazon.com/images/I/81l3UIZqgPL._AC_UL320_.jpg,https://www.amazon.com//Ass-Kickin-Salt-Variety-Pack/dp/B071NM4958/ref=sr_1_24?dchild=1&keywords=garlic+gourmet+food&qid=1621592427&sr=8-24,not be a best
25,B007D7OUWM,TruffleHunter Black & White Truffle Oil Gift Set (2 x 3.38 Oz) Real Truffle Pieces - Olive Oil Seasoning Garnish Gourmet Food Salad Dressing Marinade - Vegan Kosher Gluten Free Vegetarian,out of stock,4.7,"1,338",https://m.media-amazon.com/images/I/710tWS2Z9jL._AC_UL320_.jpg,https://www.amazon.com//TruffleHunter-Truffle-Seasoning-Garnish-Dressing/dp/B007D7OUWM/ref=sr_1_25?dchild=1&keywords=garlic+gourmet+food&qid=1621592427&sr=8-25,not be a best
26,B00AQMLFNI,"The Spicy Hot Gourmet Sea Salt Sampler - Reusable Tins & Bamboo Spoon - Ghost Pepper, Habanero, Jalapeno, Garlic Pepper, Cajun and Curry Salts - by Caravel Gourmet",$20.97,4.5,"1,963",https://m.media-amazon.com/images/I/81qzZ5eBp-L._AC_UL320_.jpg,https://www.amazon.com//Spicy-Hot-Gourmet-Salt-Sampler/dp/B00AQMLFNI/ref=sr_1_26?dchild=1&keywords=garlic+gourmet+food&qid=1621592427&sr=8-26,not be a best
27,B06Y5XX4P3,Gourmet Grilling Sea Salt 3-Pack - Smoked Bacon Chipotle Garlic Medley Smoked Bacon & Onion -A Delicious Combo Of Your Favorite Gourmet Salts At Great Price Gluten Free No-MSG Non GMO -12 Total Ounces,out of stock,4.6,535,https://m.media-amazon.com/images/I/71qzHWbp1qL._AC_UL320_.jpg,https://www.amazon.com//Gourmet-Grilling-Sea-Salt-3-Pack/dp/B06Y5XX4P3/ref=sr_1_27?dchild=1&keywords=garlic+gourmet+food&qid=1621592427&sr=8-27,not be a best
28,B072K1JJBD,"Daves Gourmet Creamy Garlic Red Pepper Hot Sauce, 8 Fluid Ounce - 6 per case.",$36.99,4.2,13,https://m.media-amazon.com/images/I/61+rPbuW6JL._AC_UL320_.jpg,https://www.amazon.com//Daves-Gourmet-Creamy-Garlic-Pepper/dp/B072K1JJBD/ref=sr_1_28?dchild=1&keywords=garlic+gourmet+food&qid=1621592427&sr=8-28,not be a best
29,B00QMFAN9U,"Sincerely Nuts Large Pistachios Roasted & Salted in Shell - 3Lb. Bag | Healthy Snack Food | Great for Cooking | Source of Fiber, Protein, Vitamins & Minerals | Gourmet Flavor | Kosher & Gluten Free",out of stock,4.5,248,https://m.media-amazon.com/images/I/81YzMWef-GL._AC_UL320_.jpg,https://www.amazon.com//Sincerely-Nuts-Pistachios-Roasted-Salted/dp/B00QMFAN9U/ref=sr_1_29?dchild=1&keywords=garlic+gourmet+food&qid=1621592427&sr=8-29,not be a best
