num,id,name,price,rating,review,img_src,url,rank
1,B0799PWQ7Y,Lopres AF – This Doctor Developed BP TCM Formula has Been Successfully Used by Millions Around The World for Over 20 Years. Perfect Alternative to Western BP Medicine. Recommend by Leading ND’s,$49.95,4.5,37,https://m.media-amazon.com/images/I/61KNB9tSQZL._AC_UL320_.jpg,https://www.amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0719831IMN5415CI1GU&url=%2FEffective-Available-Alternative-Naturopathic-Nationally%2Fdp%2FB0799PWQ7Y%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3Dgarlic%2Bherbal%26qid%3D1621594161%26sr%3D8-1-spons%26psc%3D1&qualifier=1621594161&id=3286856609620546&widgetName=sp_atf,not be a best
2,B07FSWJ5QR,"Herbal Roots Organic Whole Bulb Garlic Pills - Potent Extra Strength - Immune and Cardiovascular Support - 600 mg, 60 Capsules - Made in The USA",out of stock,4.7,"1,001",https://m.media-amazon.com/images/I/812pV5ZFzvS._AC_UL320_.jpg,https://www.amazon.com//Mortar-Pestle-Herbs-Organic-Supplement/dp/B07FSWJ5QR/ref=sr_1_2?dchild=1&keywords=garlic+herbal&qid=1621594161&sr=8-2,not be a best
3,B004K9IZ5Y,"GNC Herbal Plus Odorless Super Garlic 1100mg, 100 Tablets, Supports Cardiovascular Health",out of stock,4.9,95,https://m.media-amazon.com/images/I/81WiHt8EVIL._AC_UL320_.jpg,https://www.amazon.com//GNC-Odorless-Tablets-Supports-Cardiovascular/dp/B004K9IZ5Y/ref=sr_1_3?dchild=1&keywords=garlic+herbal&qid=1621594161&sr=8-3,not be a best
4,B001E8DBU8,Herb Pharm Mullein Garlic Herbal Oil - 1 Ounce,out of stock,4.2,"4,090",https://m.media-amazon.com/images/I/71SrhzkO5aL._AC_UL320_.jpg,https://www.amazon.com//Herb-Pharm-Mullein-Garlic-Herbal/dp/B001E8DBU8/ref=sr_1_4?dchild=1&keywords=garlic+herbal&qid=1621594161&sr=8-4,Amazon's 
5,B00XLWUT32,"Herbal Secrets Garlic 5000 Mg 120 Softgels (Non-GMO)- Potent Antioxidant*- Supports Cardiovascular Health, Immune and Digestive Function, Supports Overall Health and Well Being*",out of stock,4.5,211,https://m.media-amazon.com/images/I/71UUbfMW4VL._AC_UL320_.jpg,https://www.amazon.com//Herbal-Secrets-Garlic-5000mg-Softgels/dp/B00XLWUT32/ref=sr_1_5?dchild=1&keywords=garlic+herbal&qid=1621594161&sr=8-5,not be a best
6,B0134QPHRM,"The Miracle of Garlic: Herbal Remedy for Weight Loss, Diabetes, Blood Pressure, Cholesterol, Cancer, Allergies and Much Much More. (Garlic Power, Green Tea)",$0.00,4.8,9,https://m.media-amazon.com/images/I/81hQ3wNVhfL._AC_UL320_.jpg,https://www.amazon.com//Miracle-Garlic-Diabetes-Cholesterol-Allergies-ebook/dp/B0134QPHRM/ref=sr_1_6?dchild=1&keywords=garlic+herbal&qid=1621594161&sr=8-6,not be a best
7,B002Y27JD8,"Nature's Bounty Garlic Pills and Herbal Health Supplement, Supports Circulatory Function, 1000mg, 100 Softgels, 3 Pack",out of stock,4.7,"1,007",https://m.media-amazon.com/images/I/61P1RokT41L._AC_UL320_.jpg,https://www.amazon.com//Natures-Bounty-Supplement-Supports-Circulatory/dp/B002Y27JD8/ref=sr_1_7?dchild=1&keywords=garlic+herbal&qid=1621594161&sr=8-7,not be a best
8,B00JRU7AV6,Wellness Through Yoga,$0.99,4.3,58,https://m.media-amazon.com/images/I/81rHrRwCkAL._AC_UL320_.jpg,https://www.amazon.com//Embody-Strength-Confidence-with-Yoga/dp/B00JRU93QG/ref=sr_1_8?dchild=1&keywords=garlic+herbal&qid=1621594161&sr=8-8,not be a best
9,B00GBBR32A,"GNC Herbal Plus Odorless Super Garlic 1000mg, 100 Tablets, Supports Cardiovascular Health",out of stock,4.6,85,https://m.media-amazon.com/images/I/71z+Gj25MvL._AC_UL320_.jpg,https://www.amazon.com//GNC-Herbal-Odorless-Super-Garlic/dp/B00GBBR32A/ref=sr_1_9?dchild=1&keywords=garlic+herbal&qid=1621594161&sr=8-9,not be a best
10,B009RPA6RQ,Herbal Concepts Ltd Liqufruta Cough Med Garlic 200Ml,$31.74,4.7,74,https://m.media-amazon.com/images/I/710GLoV2uxL._AC_UL320_.jpg,https://www.amazon.com//Herbal-Concepts-Liqufruta-Cough-Garlic/dp/B009RPA6RQ/ref=sr_1_10?dchild=1&keywords=garlic+herbal&qid=1621594161&sr=8-10,not be a best
11,B018PSVRJG,Garlic: Allium sativum (Natural Herbal Living Book 14),$0.00,no rating,no review,https://m.media-amazon.com/images/I/71gb0oceyOL._AC_UL320_.jpg,https://www.amazon.com//Garlic-Allium-sativum-Natural-Herbal-ebook/dp/B018PSVRJG/ref=sr_1_11?dchild=1&keywords=garlic+herbal&qid=1621594161&sr=8-11,not be a best
