num,name,price,type,sold,from,img_src,url
1,🔥3 ถุงส่งด่วนฟรี‼️🔥 อกไก่เซเว่น 1 กิโล อกไก่นุ่ม อกไก่สร้างกล้ามเนื้อ ราคาถูก อุ่นร้อนพร้อมทาน ไม่ใส่วัตถุกันเสีย👍👍,฿120 - ฿140,ร้านแนะนำ,ขายแล้ว 1.4พัน ชิ้น,จังหวัดกรุงเทพมหานคร,https://cf.shopee.co.th/file/36554269dfcd4297abd1d52538c50261_tn,https://shopee.co.th//🔥3-ถุงส่งด่วนฟรี‼️🔥-อกไก่เซเว่น-1-กิโล-อกไก่นุ่ม-อกไก่สร้างกล้ามเนื้อ-ราคาถูก-อุ่นร้อนพร้อมทาน-ไม่ใส่วัตถุกันเสีย👍👍-i.11961350.8603563523
2,Tyson อกไก่นึ่งสไลด์ Steamed chicken sliced 500 g,฿104,shopee mall,ขายแล้ว 89 ชิ้น,จังหวัดสมุทรปราการ,https://cf.shopee.co.th/file/111c6021b5822a7ec617d6e313ee43f4_tn,https://shopee.co.th//Tyson-อกไก่นึ่งสไลด์-Steamed-chicken-sliced-500-g-i.242496057.6433607056
3,แหนมเนืองวีที10ไม้🔥ของใหม่ทุกวันรับประกัน!!รถเย็นทักแชท📌กรุณาอ่านรายละเอียดให้ครบถ้วนก่อนสั่งซื้อ📌,฿290,ร้านแนะนำ,ขายแล้ว 1พัน ชิ้น,จังหวัดขอนแก่น,https://cf.shopee.co.th/file/60a1e548b6747ca186c49d94348a3888_tn,https://shopee.co.th//แหนมเนืองวีที10ไม้🔥ของใหม่ทุกวันรับประกัน!!รถเย็นทักแชท📌กรุณาอ่านรายละเอียดให้ครบถ้วนก่อนสั่งซื้อ📌-i.1743191.6576539525
4,Tyson ไก่ป๊อปคอร์น Breaded Chicken Popcorn 500 g,฿126,shopee mall,ขายแล้ว 118 ชิ้น,จังหวัดสมุทรปราการ,https://cf.shopee.co.th/file/aeb9b301bca42a5ff9775b37b61f6de1_tn,https://shopee.co.th//Tyson-ไก่ป๊อปคอร์น-Breaded-Chicken-Popcorn-500-g-i.242496057.6633486954
5,🔥3 ถุง ส่งด่วนฟรี‼️🔥 ไก่ปรุงรสแช่แข็ง อุ่นร้อนพร้อมทาน สเต๊ก ชิกเก้นริบส์ ปีกไก่นิวออลีน  ไก่เซเว่น‼️,฿85 - ฿190,ร้านแนะนำ,ขายแล้ว 639 ชิ้น,จังหวัดกรุงเทพมหานคร,https://cf.shopee.co.th/file/715461bd726eae64825c278c4f44934c_tn,https://shopee.co.th//🔥3-ถุง-ส่งด่วนฟรี‼️🔥-ไก่ปรุงรสแช่แข็ง-อุ่นร้อนพร้อมทาน-สเต๊ก-ชิกเก้นริบส์-ปีกไก่นิวออลีน-ไก่เซเว่น‼️-i.11961350.9103556599
6,‼️4แพค100฿‼️ ไส้กรอกไก่ มีฮาลาน🐔 ไส้กรอกอย่างดี,฿25,general,ขายแล้ว 1.5พัน ชิ้น,จังหวัดนนทบุรี,https://cf.shopee.co.th/file/d1f97bce4c4e9f715f83a6df353b48d3_tn,https://shopee.co.th//‼️4แพค100฿‼️-ไส้กรอกไก่-มีฮาลาน🐔-ไส้กรอกอย่างดี-i.39731714.9518561998
7,คีโตรอดแล้ว ขายดี! ผงปรุงคีโตรสไก่ ใส่นิดหน่อยอร่อยไปหมด กระปุก65กรัม ไม่แป้ง ไม่น้ำตาล ไม่ผงชูรส ใช้ปรุงอาหารคีโต,฿75,ร้านแนะนำ,ขายแล้ว 555 ชิ้น,จังหวัดกรุงเทพมหานคร,https://cf.shopee.co.th/file/e4f692cc8ca1b5f0413beaf7df91e93d_tn,https://shopee.co.th//คีโตรอดแล้ว-ขายดี!-ผงปรุงคีโตรสไก่-ใส่นิดหน่อยอร่อยไปหมด-กระปุก65กรัม-ไม่แป้ง-ไม่น้ำตาล-ไม่ผงชูรส-ใช้ปรุงอาหารคีโต-i.86079309.7058803529
8,❗กทม.+ปริมณฑลส่งเช้าเย็นถึง❗ไก่กรอบ ไก่ป็อป ซูเปอร์เชฟ SUPER CHEF 1 กก,฿150,ร้านแนะนำ,ขายแล้ว 114 ชิ้น,จังหวัดกรุงเทพมหานคร,https://cf.shopee.co.th/file/d1616d96ce10de79aa1b31653648fb0a_tn,https://shopee.co.th//❗กทม.-ปริมณฑลส่งเช้าเย็นถึง❗ไก่กรอบ-ไก่ป็อป-ซูเปอร์เชฟ-SUPER-CHEF-1-กก-i.38444368.6529557840
9,โรซ่าพร้อมเมนูไก่ผัดกะเพรา ขนาด 85 กรัม,฿29,shopee mall,ขายแล้ว 1.5พัน ชิ้น,จังหวัดสมุทรปราการ,https://cf.shopee.co.th/file/94b27eb59940d4eccbf10b643c6ffb10_tn,https://shopee.co.th//โรซ่าพร้อมเมนูไก่ผัดกะเพรา-ขนาด-85-กรัม-i.68742851.1338249876
10,โรซ่าพร้อม เอ็กซ์ตร้า เมนูสเต็กไก่น้ำแดง ขนาด 180 กรัม,฿59,shopee mall,ขายแล้ว 2.6พัน ชิ้น,จังหวัดสมุทรปราการ,https://cf.shopee.co.th/file/76492d0bd60ece36a920d6bc61859794_tn,https://shopee.co.th//โรซ่าพร้อม-เอ็กซ์ตร้า-เมนูสเต็กไก่น้ำแดง-ขนาด-180-กรัม-i.68742851.6432060753
