num,name,price,type,star,sold,from,img_src,url
1,Garlic Bite - กระเทียมทอดกรอบปรุงรส (200g),฿125,general,4.7037,154.0,จังหวัดกรุงเทพมหานคร,https://cf.shopee.co.th/file/556ce07812f13baf4187c31a9c99cac2_tn,https://shopee.co.th//Garlic-Bite-กระเทียมทอดกรอบปรุงรส-(200g)-i.26244776.7477243775
2,กระเทียม กิฟฟารีน GARLICINE GIFFARINE ต้านหวัด ลดไขมันในเส้นเลือด ลดความดันโลหิต กระตุ้นน้ำย่อยทำให้เจริญอาหาร,฿240,general,5.0,39.0,จังหวัดกรุงเทพมหานคร,https://cf.shopee.co.th/file/b41a642a9896d7dc92ed8122931caeca_tn,https://shopee.co.th//กระเทียม-กิฟฟารีน-GARLICINE-GIFFARINE-ต้านหวัด-ลดไขมันในเส้นเลือด-ลดความดันโลหิต-กระตุ้นน้ำย่อยทำให้เจริญอาหาร-i.383537364.7085041163
3,กระเทียมดำภูเขาไฟ ศรีษะเกษ นน.1000 กรัม (1KG),฿765,general,4.5294,43.0,จังหวัดปทุมธานี,https://cf.shopee.co.th/file/263e00917c81807eb1582d02cc577c06_tn,https://shopee.co.th//กระเทียมดำภูเขาไฟ-ศรีษะเกษ-นน.1000-กรัม-(1KG)-i.124640151.5884477570
4,เครื่องปั่น  เครื่องปั่นกระเทียม  เครื่องเตรียมอาหารไร้สายขนาดเล็ก ปั่นกระเทียม🌟ปั่นพริก🌟ปั่นเนื้อ🌟ปั่นอาหาร B142,฿138,general,4.6589,631.0,จังหวัดสมุทรสาคร,https://cf.shopee.co.th/file/731c2bb8f972d6c4872cd2649c5bba1e_tn,https://shopee.co.th//เครื่องปั่น-เครื่องปั่นกระเทียม-เครื่องเตรียมอาหารไร้สายขนาดเล็ก-ปั่นกระเทียม🌟ปั่นพริก🌟ปั่นเนื้อ🌟ปั่นอาหาร-B142-i.322640254.7283029885
5,กระเทียม สมุนไพร อาหารเสริม กิฟฟารีน giffarine กระเทียมโทน กระเทียมไทย แคปซูล กระเทียมสกัด ป้องกันไวรัส,฿232,general,4.9231,196.0,จังหวัดกรุงเทพมหานคร,https://cf.shopee.co.th/file/b0729d209ba4360be1fb9fc6ec1df0d8_tn,https://shopee.co.th//กระเทียม-สมุนไพร-อาหารเสริม-กิฟฟารีน-giffarine-กระเทียมโทน-กระเทียมไทย-แคปซูล-กระเทียมสกัด-ป้องกันไวรัส-i.413921438.3784566955
6,กระเทียมผง กระเทียมโทนผง อัดเม็ด💊💊💊,฿60 - ฿280,general,4.8696,98.0,จังหวัดพิษณุโลก,https://cf.shopee.co.th/file/3ba7ea74cc4375842533928f38d4b205_tn,https://shopee.co.th//กระเทียมผง-กระเทียมโทนผง-อัดเม็ด💊💊💊-i.14021973.6286426350
7,ผงสามเกลอ100% (ผงกระเทียม/พริกไทยป่น/เม็ดผักชีป่น)ผลิตจากเครื่องเทศแท้100%คัดเกรดพิเศษ,฿35 - ฿138,ร้านแนะนำ,4.9279,567.0,จังหวัดกรุงเทพมหานคร,https://cf.shopee.co.th/file/e7b460717a5f93f2f667979adb2d5f62_tn,https://shopee.co.th//ผงสามเกลอ100-(ผงกระเทียม-พริกไทยป่น-เม็ดผักชีป่น)ผลิตจากเครื่องเทศแท้100-คัดเกรดพิเศษ-i.258881475.4977193656
8,กระเทียมป่น ขวดแก้ว ขนาด 50 กรัม ตรามือที่ 1 ง่วนสูน,฿56,ร้านแนะนำ,4.973,87.0,จังหวัดกรุงเทพมหานคร,https://cf.shopee.co.th/file/a014e110fa76ef9e7faa4160924ba761_tn,https://shopee.co.th//กระเทียมป่น-ขวดแก้ว-ขนาด-50-กรัม-ตรามือที่-1-ง่วนสูน-i.233244023.8105538712
9,กระเทียมโทนไทย คัดพิเศษ เม็ดใหญ่(เท่าเหรียญ5บาท) เม็ดกลาง(เท่าเหรียญบาท) ครึ่งโล และ 1 กิโลกรัม,฿70 - ฿149,ร้านแนะนำ,4.8071,1500.0,จังหวัดสมุทรปราการ,https://cf.shopee.co.th/file/0ada47eebeb50e5af6ae4a25d978ea98_tn,https://shopee.co.th//กระเทียมโทนไทย-คัดพิเศษ-เม็ดใหญ่(เท่าเหรียญ5บาท)-เม็ดกลาง(เท่าเหรียญบาท)-ครึ่งโล-และ-1-กิโลกรัม-i.165452029.3819479687
10,ที่บดกระเทียม เครื่องมือบดกระเทียม ที่กดกระเทียม สแตนเลส ที่บีบกระเทียม แบบมือบีบ Garlic grinding tool,฿29,general,4.75,320.0,จังหวัดกรุงเทพมหานคร,https://cf.shopee.co.th/file/5e91da4ec24c1f2ce787470048de39b1_tn,https://shopee.co.th//ที่บดกระเทียม-เครื่องมือบดกระเทียม-ที่กดกระเทียม-สแตนเลส-ที่บีบกระเทียม-แบบมือบีบ-Garlic-grinding-tool-i.314562301.6760580557
11,ง่วนสูน ตรามือที่ 1 กระเทียมป่น 200g ซอง,฿127,shopee mall,5.0,52.0,จังหวัดกรุงเทพมหานคร,https://cf.shopee.co.th/file/f06dc97b5e01c7be10f428217b494bad_tn,https://shopee.co.th//ง่วนสูน-ตรามือที่-1-กระเทียมป่น-200g-ซอง-i.61637165.7283579335
12,กระเทียมอินทรีย์ ศรีสะเกษ แท้ 100%  กิโลกรัมละ 165 บาท,฿165,general,4.9,272.0,จังหวัดศรีสะเกษ,https://cf.shopee.co.th/file/427cd867280a0ea03c0b712b36a789b2_tn,https://shopee.co.th//กระเทียมอินทรีย์-ศรีสะเกษ-แท้-100-กิโลกรัมละ-165-บาท-i.41095201.5517716891
13,กระเทียมโทนดองน้ำผึ้ง/ดองโสม/ดองธรรมชาติ  จากผู้ผลิตโดยตรง ตราแม่ไพลิน,฿39 - ฿98,general,4.6944,158.0,จังหวัดลำปาง,https://cf.shopee.co.th/file/1b5358e469604b4ccee770c6cbfa6559_tn,https://shopee.co.th//กระเทียมโทนดองน้ำผึ้ง-ดองโสม-ดองธรรมชาติ-จากผู้ผลิตโดยตรง-ตราแม่ไพลิน-i.46293353.6979601344
