num,name,price,type,star,sold,from,img_src,url
1,งาช้างคู่เล้งเฮง กระเทียมดอง 800 กรัม TWIN TUSK Leng Heng 900 g.,฿100,ร้านแนะนำ,3.6667,9.0,จังหวัดสมุทรปราการ,https://cf.shopee.co.th/file/f8adb412827a6751f95e3e0445d9ea3b_tn,https://shopee.co.th//งาช้างคู่เล้งเฮง-กระเทียมดอง-800-กรัม-TWIN-TUSK-Leng-Heng-900-g.-i.153692679.6779299181
2,กระเทียมดองคีโต KETO FRIENDLY ขนาด 200 กรัม,฿56,general,0.0,no sold,จังหวัดกรุงเทพมหานคร,https://cf.shopee.co.th/file/b5c3cf48f612fa7678f64b1bb5d5a3bd_tn,https://shopee.co.th//กระเทียมดองคีโต-KETO-FRIENDLY-ขนาด-200-กรัม-i.393727669.9944701242
3,กระเทียมโทนดองน้ำผึ้ง,฿180,general,0.0,no sold,จังหวัดแพร่,https://cf.shopee.co.th/file/ceddd79215014937b1557421a4f2a75e_tn,https://shopee.co.th//กระเทียมโทนดองน้ำผึ้ง-i.347488735.8801148764
4,กระเทียมโทนดองน้ำผึ้ง,฿74,general,4.25,9.0,จังหวัดสุพรรณบุรี,https://cf.shopee.co.th/file/9459b0a8be5fdd4e32ddec996388d4e5_tn,https://shopee.co.th//กระเทียมโทนดองน้ำผึ้ง-i.193086758.8205253046
5,กระเทียมโทนดองน้ำผึ้ง,฿70 - ฿180,general,4.3333,11.0,จังหวัดชลบุรี,https://cf.shopee.co.th/file/43ea95eb2d54dfbadf88e14fc1c15b50_tn,https://shopee.co.th//กระเทียมโทนดองน้ำผึ้ง-i.27972271.9319444957
6,กระเทียมโทนดองน้ำผึ้ง/ดองโสม/ดองธรรมชาติ  จากผู้ผลิตโดยตรง ตราแม่ไพลิน,฿39 - ฿98,general,4.6944,158.0,จังหวัดลำปาง,https://cf.shopee.co.th/file/1b5358e469604b4ccee770c6cbfa6559_tn,https://shopee.co.th//กระเทียมโทนดองน้ำผึ้ง-ดองโสม-ดองธรรมชาติ-จากผู้ผลิตโดยตรง-ตราแม่ไพลิน-i.46293353.6979601344
7,MAEJIN กระเทียมดอง340G แม่จินต์ กระเทียมดอง 340กรัม 1 กระปุก กระเทียมดอง กระเทียม น้ำกระเทียมดอง น้ำกระเทียมดองขวด,฿44,ร้านแนะนำ,4.963,77.0,จังหวัดขอนแก่น,https://cf.shopee.co.th/file/df10b20d01ab1651e308a6e01f28d65d_tn,https://shopee.co.th//MAEJIN-กระเทียมดอง340G-แม่จินต์-กระเทียมดอง-340กรัม-1-กระปุก-กระเทียมดอง-กระเทียม-น้ำกระเทียมดอง-น้ำกระเทียมดองขวด-i.240473855.7052692854
8,กระเทียมโทนดองน้ำผึ้งราคาส่งจากผู้ผลิตโดยตรง ขวดเล็ก 35 บาท (ขวดพลาสติกไม่แตก ),฿39,general,4.7308,157.0,จังหวัดลำปาง,https://cf.shopee.co.th/file/554915a8eb47980376e99d71a86de896_tn,https://shopee.co.th//กระเทียมโทนดองน้ำผึ้งราคาส่งจากผู้ผลิตโดยตรง-ขวดเล็ก-35-บาท-(ขวดพลาสติกไม่แตก-)-i.46293353.8216292412
9,กระเทียมดองรสธรรมชาติ*ดั้งเดิมขนาด 500กรัม(แถมเพิ่มปริมาณ50-100กรัม),฿56,general,4.9333,80.0,จังหวัดกาญจนบุรี,https://cf.shopee.co.th/file/333dba2848f594990548fe9c9913796b_tn,https://shopee.co.th//กระเทียมดองรสธรรมชาติ*ดั้งเดิมขนาด-500กรัม(แถมเพิ่มปริมาณ50-100กรัม)-i.300875260.5579194630
10,🌟กระเทียมโทนดอง น้ำผึ้ง โสม 3 รส ขนาด 800 กรัม,฿110,general,4.8137,470.0,จังหวัดลำปาง,https://cf.shopee.co.th/file/4b89734565faaa6106607f8de4037949_tn,https://shopee.co.th//🌟กระเทียมโทนดอง-น้ำผึ้ง-โสม-3-รส-ขนาด-800-กรัม-i.289949891.4445320643
