num,name,price,type,star,sold,from,img_src,url
1,ผงไนซ NIZE ผงปรุงรสคลีน/ผงปรุงรสคีโต สูตรหมู ไม่มีผงชูรส • อร่อยครบรส ไม่ต้องปรุงเพิ่ม•,฿79 - ฿160,ร้านแนะนำ,5.0,20.0,จังหวัดกรุงเทพมหานคร,https://cf.shopee.co.th/file/672e158637563dd5cb6691c8654804fa_tn,https://shopee.co.th//ผงไนซ-NIZE-ผงปรุงรสคลีน-ผงปรุงรสคีโต-สูตรหมู-ไม่มีผงชูรส-•-อร่อยครบรส-ไม่ต้องปรุงเพิ่ม•-i.39853760.9951146479
2,กระเทียมผง (กระเทียมไทย แท้ 100% ปลูกโดยเกษตรกรไทย กลิ่นหอม) ขนาด 500 กรัม / กระเทียมผงแท้​ 100% ไม่ผสม,฿169,ร้านแนะนำ,4.8864,145.0,จังหวัดกรุงเทพมหานคร,https://cf.shopee.co.th/file/efd1f5469bfb244c84fdb3bd5ba1fdc5_tn,https://shopee.co.th//กระเทียมผง-(กระเทียมไทย-แท้-100-ปลูกโดยเกษตรกรไทย-กลิ่นหอม)-ขนาด-500-กรัม-กระเทียมผงแท้​-100-ไม่ผสม-i.51475931.4654685313
3,กระเทียม รากผักชี และเห็ดหอม บดผง (สามเกลอ) (8M+) 35g ตรา บ้านรยา,฿150,ร้านแนะนำ,4.9169,893.0,จังหวัดปทุมธานี,https://cf.shopee.co.th/file/44ac0d6016749ccdc8c84ce1dd343ea0_tn,https://shopee.co.th//กระเทียม-รากผักชี-และเห็ดหอม-บดผง-(สามเกลอ)-(8M-)-35g-ตรา-บ้านรยา-i.3554333.3519762750
4,🔥ถูกที่สุด!!🔥 ผงปรุงรส ผงเขย่า ชนิดเข้มข้น​ ขนาดทดลอง 25กรัม 9บ. 🔴(มีบริการเก็บเงินปลายทางค่ะ),฿9,ร้านแนะนำ,4.6872,104200.0,จังหวัดนนทบุรี,https://cf.shopee.co.th/file/a3fc72b8b3eb1ea7844eef1fd4f16f42_tn,https://shopee.co.th//🔥ถูกที่สุด!!🔥-ผงปรุงรส-ผงเขย่า-ชนิดเข้มข้น​-ขนาดทดลอง-25กรัม-9บ.-🔴(มีบริการเก็บเงินปลายทางค่ะ)-i.79680589.4219678192
5,💥ส่งฟรี💥กระเทียมแคปซูล Garlic กระเทียมอัดเม็ดกิฟฟารีน กระเทียมสกัดผงลดไขมันในเลือด ต้านไวรัส ต้านหวัด  สมุนไพร,฿240,general,4.8824,88.0,จังหวัดปทุมธานี,https://cf.shopee.co.th/file/e1b5068a7e760082458e409259a6a93d_tn,https://shopee.co.th//💥ส่งฟรี💥กระเทียมแคปซูล-Garlic-กระเทียมอัดเม็ดกิฟฟารีน-กระเทียมสกัดผงลดไขมันในเลือด-ต้านไวรัส-ต้านหวัด-สมุนไพร-i.397836979.8122361387
6,กระเทียมผง (ground garlic) แท้ 100% ไม่ผสม เริ่มต้น 25 บาท,฿25 - ฿90,ร้านแนะนำ,4.8979,1600.0,จังหวัดกรุงเทพมหานคร,https://cf.shopee.co.th/file/3cfb86f4594531353fd468fa1b5bc008_tn,https://shopee.co.th//กระเทียมผง-(ground-garlic)-แท้-100-ไม่ผสม-เริ่มต้น-25-บาท-i.224688920.6154539941
7,กระเทียมผง (กระเทียมไทย แท้ 100% ปลูกโดยเกษตรกรไทย กลิ่นหอม) ขนาด 125 กรัม / กระเทียมผงแท้​ 100% ไม่ผสม,฿49,ร้านแนะนำ,4.8992,287.0,จังหวัดกรุงเทพมหานคร,https://cf.shopee.co.th/file/853f79c73c8c39baacffecf0711b6e4f_tn,https://shopee.co.th//กระเทียมผง-(กระเทียมไทย-แท้-100-ปลูกโดยเกษตรกรไทย-กลิ่นหอม)-ขนาด-125-กรัม-กระเทียมผงแท้​-100-ไม่ผสม-i.51475931.3254846788
8,กระเทียมผง Garlic Powder กระเทียมบดผงละเอียด กลิ่นหอม กระเทียมแท้ 100%,฿50 - ฿90,ร้านแนะนำ,4.8295,636.0,จังหวัดพะเยา,https://cf.shopee.co.th/file/ab6946dbe6760d7f0a672bff54d68ebf_tn,https://shopee.co.th//กระเทียมผง-Garlic-Powder-กระเทียมบดผงละเอียด-กลิ่นหอม-กระเทียมแท้-100--i.58096379.7646042888
9,ผงกระเทียมบดละเอียด ๑๐๐% สำหรับชงดื่มและทำอาหาร ขนาด 50 กรัม,฿30,ร้านแนะนำ,4.8047,531.0,จังหวัดปทุมธานี,https://cf.shopee.co.th/file/c144cebd205edf25d76a371b99532feb_tn,https://shopee.co.th//ผงกระเทียมบดละเอียด-๑๐๐-สำหรับชงดื่มและทำอาหาร-ขนาด-50-กรัม-i.173094347.6243202927
10,ง่วนสูน ตรามือที่ 1 ผงกระเทียมผสมเกลือไอโอดีน 50 g.,฿65,shopee mall,4.9231,356.0,จังหวัดกรุงเทพมหานคร,https://cf.shopee.co.th/file/c22c7d68befbf8913a3b96223e615f28_tn,https://shopee.co.th//ง่วนสูน-ตรามือที่-1-ผงกระเทียมผสมเกลือไอโอดีน-50-g.-i.61637165.1397864707
