num,name,price,type,star,sold,from,img_src,url
1,กระเทียมเจียว หอมๆสีเหลืองสวยงามน่ารับประทานราคาสบายกระเป๋า แพคเล็ก100กรัม // แพคใหญ่500กรัม,฿29 - ฿90,ร้านแนะนำ,4.8987,703.0,จังหวัดกรุงเทพมหานคร,https://cf.shopee.co.th/file/590e23f3954628bd3e0c9f304ba24444_tn,https://shopee.co.th//กระเทียมเจียว-หอมๆสีเหลืองสวยงามน่ารับประทานราคาสบายกระเป๋า-แพคเล็ก100กรัม-แพคใหญ่500กรัม-i.36256765.5431815510
2,ก๋วยเตี๋ยวน้ำซุปกระดูกหมูสำเร็จรูป,฿35,general,0.0,no sold,จังหวัดชลบุรี,https://cf.shopee.co.th/file/0de7eaa62a7febe472ed0d3df89f6b3d_tn,https://shopee.co.th//ก๋วยเตี๋ยวน้ำซุปกระดูกหมูสำเร็จรูป-i.112137902.9552338025
3,กระเทียมสไลด์ทอด กระเทียมแผ่นทอด กระเทียมเจียวทอด คุณชาย,฿85 - ฿320,ร้านแนะนำ,4.8667,165.0,จังหวัดนนทบุรี,https://cf.shopee.co.th/file/5ad3438afa7c431db64b82a4913ca1a5_tn,https://shopee.co.th//กระเทียมสไลด์ทอด-กระเทียมแผ่นทอด-กระเทียมเจียวทอด-คุณชาย-i.180421396.7075013456
4,Garlic Bite - กระเทียมทอดกรอบปรุงรส (200g),฿125,general,4.7037,154.0,จังหวัดกรุงเทพมหานคร,https://cf.shopee.co.th/file/556ce07812f13baf4187c31a9c99cac2_tn,https://shopee.co.th//Garlic-Bite-กระเทียมทอดกรอบปรุงรส-(200g)-i.26244776.7477243775
5,กระเทียมเจียวเนื้อล้วน คุณชาย (แบบไม่มีเปลือก) 200 กรัม,฿80,ร้านแนะนำ,4.9286,80.0,จังหวัดนนทบุรี,https://cf.shopee.co.th/file/af03a631b7cfde9bb7c440bc9c088d3b_tn,https://shopee.co.th//กระเทียมเจียวเนื้อล้วน-คุณชาย-(แบบไม่มีเปลือก)-200-กรัม-i.180421396.4976247322
6,กระเทียมเจียว ตราไร่ทิพย์(100กรัม),฿22,ร้านแนะนำ,4.922,956.0,จังหวัดกรุงเทพมหานคร,https://cf.shopee.co.th/file/a880de1e88f44edf95955ebaf866f00f_tn,https://shopee.co.th//กระเทียมเจียว-ตราไร่ทิพย์(100กรัม)-i.56353713.4028067652
7,กระเทียมเจียว500กรัม,฿52,ร้านแนะนำ,4.806,2500.0,จังหวัดนครราชสีมา,https://cf.shopee.co.th/file/5d42fc84ad005a9a5ca304624da6c22d_tn,https://shopee.co.th//กระเทียมเจียว500กรัม-i.133826346.2283306360
8,กระเทียมเจียว หอมๆสีเหลืองสวยงามน่ารับประทานราคาสบายกระเป๋า แพคเล็ก100กรัม // แพคใหญ่500กรัม,฿29 - ฿90,ร้านแนะนำ,4.8987,703.0,จังหวัดกรุงเทพมหานคร,https://cf.shopee.co.th/file/590e23f3954628bd3e0c9f304ba24444_tn,https://shopee.co.th//กระเทียมเจียว-หอมๆสีเหลืองสวยงามน่ารับประทานราคาสบายกระเป๋า-แพคเล็ก100กรัม-แพคใหญ่500กรัม-i.36256765.5431815510
9,กากหมูกระเทียมเจียว ใส่ก๋วยเตี๋ยว (250-500กรัม),฿50 - ฿95,ร้านแนะนำ,4.7412,642.0,จังหวัดนครราชสีมา,https://cf.shopee.co.th/file/d60ff126bc39ace0748d95db1ebb976d_tn,https://shopee.co.th//กากหมูกระเทียมเจียว-ใส่ก๋วยเตี๋ยว-(250-500กรัม)-i.133826346.5415139341
10,กระเทียมเจียวตรา พ.เพ็ญจันทร์ (ขนาด 500 กรัม),฿45,ร้านแนะนำ,4.8298,296.0,จังหวัดปทุมธานี,https://cf.shopee.co.th/file/ed73d6272b31f7e3b83cfaa0bde29001_tn,https://shopee.co.th//กระเทียมเจียวตรา-พ.เพ็ญจันทร์-(ขนาด-500-กรัม)-i.159915132.7437556853
11,กระเทียมเจียวเนื้อล้วนกระปุกละ40บาท 120กรัม,฿45,general,4.9375,136.0,จังหวัดขอนแก่น,https://cf.shopee.co.th/file/d89fd1301e8044c772f158bdc78c79ac_tn,https://shopee.co.th//กระเทียมเจียวเนื้อล้วนกระปุกละ40บาท-120กรัม-i.58867504.4047903011
12,หอมเจียว/กระเทียมเจียว🚩ไร้แป้ง ถุงละ 15 บาท,฿15 - ฿60,ร้านแนะนำ,4.775,378.0,จังหวัดอุบลราชธานี,https://cf.shopee.co.th/file/86c648a2ae64da6ffa69545027059977_tn,https://shopee.co.th//หอมเจียว-กระเทียมเจียว🚩ไร้แป้ง-ถุงละ-15-บาท-i.9638942.5123041265
