num,name,price,type,star,sold,from,img_src,url
1,กระเทียมผง (กระเทียมไทย แท้ 100% ปลูกโดยเกษตรกรไทย กลิ่นหอม) ขนาด 500 กรัม / กระเทียมผงแท้​ 100% ไม่ผสม,฿169,ร้านแนะนำ,4.8864,145.0,จังหวัดกรุงเทพมหานคร,https://cf.shopee.co.th/file/efd1f5469bfb244c84fdb3bd5ba1fdc5_tn,https://shopee.co.th//กระเทียมผง-(กระเทียมไทย-แท้-100-ปลูกโดยเกษตรกรไทย-กลิ่นหอม)-ขนาด-500-กรัม-กระเทียมผงแท้​-100-ไม่ผสม-i.51475931.4654685313
2,กะพรุนดองแห้ง ล้างจืดแล้ว 1 kgs.,฿105,general,4.75,11.0,จังหวัดระยอง,https://cf.shopee.co.th/file/6460640613648e1f0f1fd8028f0e2fba_tn,https://shopee.co.th//กะพรุนดองแห้ง-ล้างจืดแล้ว-1-kgs.-i.184051255.5639657533
3,แคบหมูกระจกกึ่งสำเร็จรูป 1 กิโลกรัม (ยังไม่ทอด),฿150 - ฿285,ร้านแนะนำ,4.7241,857.0,จังหวัดแพร่,https://cf.shopee.co.th/file/fb6d2c45818503c7a30742bb28cd2e7e_tn,https://shopee.co.th//แคบหมูกระจกกึ่งสำเร็จรูป-1-กิโลกรัม-(ยังไม่ทอด)-i.47673285.1984848623
4,กุ้งแห้งไซส์ใหญ่ราคาถูก 500 กรัม 1 แพ็ค,฿300,general,4.95,40.0,จังหวัดสตูล,https://cf.shopee.co.th/file/fc66239d17f470a140c1c859df41240e_tn,https://shopee.co.th//กุ้งแห้งไซส์ใหญ่ราคาถูก-500-กรัม-1-แพ็ค-i.174191052.6963262057
5,กระเทียมไทยแกะกลีบ 6 กิโลกรัม ⭐⭐⭐⭐⭐ กลีบแน่น ไม่ฝ่อ✅ไม่รา ✅ไม่มอด ✅แห้งอย่างดี💯% สินค้าคุณภาพดีจากเกษตกร,฿450,general,0.0,no sold,จังหวัดลำปาง,https://cf.shopee.co.th/file/b9bb4f06a27e7aae601fff6c8e88625b_tn,https://shopee.co.th//กระเทียมไทยแกะกลีบ-6-กิโลกรัม-⭐⭐⭐⭐⭐-กลีบแน่น-ไม่ฝ่อ✅ไม่รา-✅ไม่มอด-✅แห้งอย่างดี💯-สินค้าคุณภาพดีจากเกษตกร-i.126457561.4053924681
6,กระเทียมถูก กระเทียมดี มีอยู่จริง กระเทียมไทยมัดจุกแห้งมาก 1กิโล อุดหนุนร้านนี้มีให้ ทั้งถูก ทั้งแถมเดือนนี้เท่านั้น,฿50,general,5.0,31.0,จังหวัดลำปาง,https://cf.shopee.co.th/file/ec55013265b953a69648f7dec46dee9a_tn,https://shopee.co.th//กระเทียมถูก-กระเทียมดี-มีอยู่จริง-กระเทียมไทยมัดจุกแห้งมาก-1กิโล-อุดหนุนร้านนี้มีให้-ทั้งถูก-ทั้งแถมเดือนนี้เท่านั้น-i.418667544.7885153343
7,😀สินค้าขายดี😀กระเทียมไทยม่วงเบอร์1 หัวใหญ่มากค่ะ ไม่ลีบ แห้งดี,฿75,general,4.6369,564.0,จังหวัดศรีสะเกษ,https://cf.shopee.co.th/file/c1d40fc3d0b5eb407db93f36d5cdee36_tn,https://shopee.co.th//😀สินค้าขายดี😀กระเทียมไทยม่วงเบอร์1-หัวใหญ่มากค่ะ-ไม่ลีบ-แห้งดี-i.165777162.6321529748
8,สุดปังซื้อกระเทียมปิงปองขาวหัวใหญ่รุ่น1กิโลกลีบใหญ่เนื้อแน่นไม่ชื้นไม่รา,฿60,general,4.7409,616.0,จังหวัดศรีสะเกษ,https://cf.shopee.co.th/file/79273389f436f03a5c7f193ecf73997e_tn,https://shopee.co.th//สุดปังซื้อกระเทียมปิงปองขาวหัวใหญ่รุ่น1กิโลกลีบใหญ่เนื้อแน่นไม่ชื้นไม่รา-i.165777162.7635710640
9,✔✔กระเทียมไทยหัวม่วงจัมโบ้   แห้งแล้ว 1 กิโลกรัม สะอาด ตัดแต่ง 🔥🔥,฿95,general,4.9,111.0,จังหวัดเชียงใหม่,https://cf.shopee.co.th/file/60c6779161f6702033445e2a61e2116d_tn,https://shopee.co.th//✔✔กระเทียมไทยหัวม่วงจัมโบ้-แห้งแล้ว-1-กิโลกรัม-สะอาด-ตัดแต่ง-🔥🔥-i.38313693.3421413314
10,*สมุนไพรแห้ง* กระเทียม กระเทียมแห้ง ขนาด 150 กรัม,฿25,general,4.8182,25.0,จังหวัดบุรีรัมย์,https://cf.shopee.co.th/file/f2fc3268b724322f0139eac18018ce5f_tn,https://shopee.co.th//*สมุนไพรแห้ง*-กระเทียม-กระเทียมแห้ง-ขนาด-150-กรัม-i.7158538.4730306172
