num,name,price,type,star,sold,from,img_src,url
1,เมล็ดพันธุ์ผักสลัด ซองละ 10 บาท เมล็ดผัก เมล็ดสลัดพันธุ์แท้,฿7 - ฿10,ร้านแนะนำ,4.7452,43900.0,จังหวัดสกลนคร,https://cf.shopee.co.th/file/18c03f9589c4cc4754e726097450acb2_tn,https://shopee.co.th//เมล็ดพันธุ์ผักสลัด-ซองละ-10-บาท-เมล็ดผัก-เมล็ดสลัดพันธุ์แท้-i.3514198.5053286414
2,เมล็ดพันธุ์ กระเทียมต้น 200 เมล็ด American Flag's Leek เมล็ดพันธุ์แท้100%นำเข้าจากต่างประเทศ ปลูกผัก สวนครัว เพาะง่าย,฿10 - ฿50,ร้านแนะนำ,4.825,926.0,จังหวัดน่าน,https://cf.shopee.co.th/file/2521d5f678fd290ae3464d398d0e5bc5_tn,https://shopee.co.th//เมล็ดพันธุ์-กระเทียมต้น-200-เมล็ด-American-Flag's-Leek-เมล็ดพันธุ์แท้100-นำเข้าจากต่างประเทศ-ปลูกผัก-สวนครัว-เพาะง่าย-i.269793953.4156956399
3,เมล็ดแท้ 100% | ตอบลู (Myrtillocactus geometrizans | Blue Candle) 10s | เพาะแล้ว ทดสอบแล้ว งอกจริง‼️,฿24,general,4.7493,2200.0,จังหวัดนนทบุรี,https://cf.shopee.co.th/file/f2034104ec2c44740a363993ac83a2c8_tn,https://shopee.co.th//เมล็ดแท้-100-ตอบลู-(Myrtillocactus-geometrizans-Blue-Candle)-10s-เพาะแล้ว-ทดสอบแล้ว-งอกจริง‼️-i.45558233.1730232090
4,เม็ดมะม่วงหิมพานต์อบ,฿120,general,0.0,no sold,จังหวัดเชียงราย,https://cf.shopee.co.th/file/2a10c9736831c27cc3d77532103fb6fd_tn,https://shopee.co.th//เม็ดมะม่วงหิมพานต์อบ-i.4405880.5461544620
5,ชุดเพาะเมล็ดกระบองเพชร เเอสโตร,฿80,general,0.0,1.0,จังหวัดกรุงเทพมหานคร,https://cf.shopee.co.th/file/6a9fc07ccf0979bb1944822fc3a6168c_tn,https://shopee.co.th//ชุดเพาะเมล็ดกระบองเพชร-เเอสโตร-i.77091766.7220597235
6,เมล็ดพันธุ์ กระเทียมต้น 200 เมล็ด American Flag's Leek เมล็ดพันธุ์แท้100%นำเข้าจากต่างประเทศ ปลูกผัก สวนครัว เพาะง่าย,฿10 - ฿50,ร้านแนะนำ,4.825,926.0,จังหวัดน่าน,https://cf.shopee.co.th/file/2521d5f678fd290ae3464d398d0e5bc5_tn,https://shopee.co.th//เมล็ดพันธุ์-กระเทียมต้น-200-เมล็ด-American-Flag's-Leek-เมล็ดพันธุ์แท้100-นำเข้าจากต่างประเทศ-ปลูกผัก-สวนครัว-เพาะง่าย-i.269793953.4156956399
7,เมล็ดพันธุ์ กระเทียมกินต้น(ไม่ใช่ต้นหอมญี่ปุ่น) 30เมล็ด,฿9,general,4.9167,280.0,จังหวัดเชียงใหม่,https://cf.shopee.co.th/file/c000a32abd1d226f1c3297fdf9bb9e55_tn,https://shopee.co.th//เมล็ดพันธุ์-กระเทียมกินต้น(ไม่ใช่ต้นหอมญี่ปุ่น)-30เมล็ด-i.210307388.5643891695
8,300+ เมล็ด กระเทียมต้น,฿50,general,5.0,5.0,จังหวัดกรุงเทพมหานคร,https://cf.shopee.co.th/file/c5b5d11b7db99cceb9ae5977e3c469ad_tn,https://shopee.co.th//300-เมล็ด-กระเทียมต้น-i.127001513.2073079536
9,30 เมล็ด กระเทียมป่า (ส่วนที่ทานได้คือ ดอก และใบ รสชาติอร่อยมากที่สุด),฿50,general,0.0,3.0,จังหวัดกรุงเทพมหานคร,https://cf.shopee.co.th/file/7738d22b365dab3e7e1ed60bb713d852_tn,https://shopee.co.th//30-เมล็ด-กระเทียมป่า-(ส่วนที่ทานได้คือ-ดอก-และใบ-รสชาติอร่อยมากที่สุด)-i.44973213.4886322855
10,"ใบเล็ก ๆ กระเทียมเมล็ด SEDA เมล็ด, ตัด, มีเก็บเกี่ยวปลูกระเบียง, ผัก, ผัก, ผักเมล็ดสีเขียว",฿75 - ฿123,general,0.0,no sold,จังหวัดปราจีนบุรี,https://cf.shopee.co.th/file/9109199a80ccbd4bd478740760d0ca1c_tn,https://shopee.co.th//ใบเล็ก-ๆ-กระเทียมเมล็ด-SEDA-เมล็ด-ตัด-มีเก็บเกี่ยวปลูกระเบียง-ผัก-ผัก-ผักเมล็ดสีเขียว-i.409788279.11104549373
11,30 เมล็ด กระเทียมป่า,฿50,general,4.7778,28.0,จังหวัดกรุงเทพมหานคร,https://cf.shopee.co.th/file/51d83ac80b946179a5a4d0a245d5ce1b_tn,https://shopee.co.th//30-เมล็ด-กระเทียมป่า-i.127001513.7542763270
12,☘️เมล็ดพันธุ์ กระเทียมต้น🎯ถูกที่สุด 9 บ.📌50 เมล็ด🎈🌱งอกง่าย 🌱โตไว☘️ต้นสูงใหญ่🌱ทานอร่อย,฿9,ร้านแนะนำ,4.25,7.0,จังหวัดขอนแก่น,https://cf.shopee.co.th/file/6f9e5762efea7b267d68ab205befc3c9_tn,https://shopee.co.th//☘️เมล็ดพันธุ์-กระเทียมต้น🎯ถูกที่สุด-9-บ.📌50-เมล็ด🎈🌱งอกง่าย-🌱โตไว☘️ต้นสูงใหญ่🌱ทานอร่อย-i.339918126.5382868293
