num,title,author,author_id,story,likeCount,emocount,allemos,tags,dateTime,post_link,img_src
1,ต้มยำไก่,สมาชิกหมายเลข 5969321,5969321,"
								ต้มยำไก่                 																															",1,0,"['0', '0', '0', '0', '0', '0']","['เมนูต้ม', 'เมนูซุป', 'ทำอาหาร', 'อาหารคาว', 'อาหาร']",03/01/2021 15:09:47,https://pantip.com/topic/40552543,https://f.ptcdn.info/716/072/000/qpa6m4g04Up0KF1vh3-o.jpg
2,ไก่อบกะทิ,สมาชิกหมายเลข 5969321,5969321,"
								ไก่อบกะทิ                        


																															",6,13,"['12', '0', '0', '0', '0', '1']","['เมนูอบ', 'อาหารปิ้งย่าง', 'อาหารไทย', 'สูตรอาหาร', 'ทำอาหาร']",03/22/2021 16:50:55,https://pantip.com/topic/40596889,https://f.ptcdn.info/928/072/000/qqd7ag9io6EtzGm1SKOB-o.jpg
3,ไก่กระทะvsสุกี้ไก่น้ำ,สมาชิกหมายเลข 6383588,6383588,"
								ระหว่างไก่กระทะกับสุกี้ไก่อะไรมีวัตถุดิบที่ซื้อแพงกว่ากันและถ้าให้เลือกว่าจะกินอะไรจะเลือกอะไรระหวางไก่กระทะ....สุกี้																															",0,1,"['1', '0', '0', '0', '0', '0']","['วัตถุดิบทำอาหาร', 'อาหารปิ้งย่าง', 'เมนูอาหาร', 'อาหาร']",03/29/2021 14:50:31,https://pantip.com/topic/40610668,no img
4,ลูกไก่,สมาชิกหมายเลข 6392812,6392812,"
								คือลูกไก่พึ่งออกจากไข่แล้วแม่มันทิ้งมันคิดว่าได่เน่าเลยพาลูกที่ออกจากไข่นานแล้วออกจากรัง ควรเลี้ยงลูกไก่ที่พึ่งออกจากไข่ยังไง ขนยังไม่แห้งเลยระหว่างนี้มันกินไรเป็นอาหารค่า																															",0,1,"['0', '0', '0', '1', '0', '0']",['สัตว์ปีก'],04/05/2021 10:49:24,https://pantip.com/topic/40624192,no img
5,เรื่องไก่,สมาชิกหมายเลข 6376211,6376211,"
								คือผมมีไก่ชนตัวผู้ อายุ6เดือน แต่ตัวเล็กมาก พี่ๆลองคิดดูว่าน้ำหนัก2.3 โล จะตัวเล็กแค่ไหน ถ้าตามประสาคนเล่นไก่เขาจะเรียกว่าไก่ รอยเล็ก หรือหลุดรอย เพราะตัวเล็กมาก ผมเลยอยากรู้ว่า มันสามารถ จะโตได้อีกไหม เพราะไก่อายุ6เดือน และอยากรู้ว่า ไก่จะสูงและโตเต็มที่ อายุกี่เดือน ขอบคุณ ครับ  #ความรุ้เรื่องไก่ชน																															",0,1,"['0', '0', '0', '1', '0', '0']",['ไก่ชน'],03/24/2021 03:03:08,https://pantip.com/topic/40599982,no img
6,ไก่หัน กับ ไก่หมุน,สมาชิกหมายเลข 2242842,2242842,"
								พอดีผมกับแฟน นั่งเถียงกันเรื่อง ไก่หัน กับ ไก่หมุน ผมอยากทราบว่า ไก่หัน กับ ไก่หมุน ต่างกันยังไงครับ????																															",0,0,"['0', '0', '0', '0', '0', '0']","['อาหาร', 'อาหารไทย']",01/31/2021 20:55:04,https://pantip.com/topic/40489181,no img
7,แม่ไก่,สมาชิกหมายเลข 5878818,5878818,"
								ผมสงใสว่าถ้าแม่ไก่ผสมกับตัวผู้อีกตัวแล้วมีไข่ในท้อง สมารถรับน้ำเชื้อเผื่อสร้างไข่ได้อีกตัวไหมครับ
 และหมาก็เหมือนกันถ้าหมาผสมพันหลายๆตัวแล้วหมาจะเอาน้ำเชื้อแต่ละตัวมาสร้างลูกไหมครับ เช่นมาผสมพัน5ตัว  น้ำเชื้อมี5น้ำเชื้อ หมาแต่ละตัวจะมีลูกออกมาทั้ง5ตัวไหมครับ   และลูกหมาจะมีพ่อคนละพ่อไหมครับ   พ่อ1สีดำ ลูดำ พ่อ2สีขาวลูกขาวจนถึง3-4-5  ทำไห้งงขอโทษด้วยนะครับ
[Spoil] คลิกเพื่อดูข้อความที่ซ่อนไว้ใส่ข้อความ																															",0,0,"['0', '0', '0', '0', '0', '0']","['สุนัข', 'ไก่ชน', 'สัตว์เลี้ยง']",04/05/2021 07:11:53,https://pantip.com/topic/40623929,no img
8,ไก่ขันทำไมครับ,สมาชิกหมายเลข 3212125,3212125,"
								พอดีนอนๆกำลังจะหลับ ตี1 ไก่ขันครับ แล้วพอขันตัวนึงทีนี้ขันกันยกทีมเลยครับ ก็เลยสงสัยว่า ไก่ขันทำไมครับ จุดประสงค์ในการขันแท้จริงของไก่คืออะไร หรือ มีอะไรไปกระตุ้น ถึงรู้ว่าจะต้องขันเวลาไหนครับ																															",0,1,"['0', '1', '0', '0', '0', '0']",[],04/12/2021 10:13:04,https://pantip.com/topic/40637840,no img
9,แกงเขียวหวานไก่,สมาชิกหมายเลข 5483783,5483783,"
								

เป็นคลิปเกี่ยวกับการทำแกงเขียวหวานไก่ แนวแร่งความเร็ว vdo เพื่อความสนุกในการดู
ไม่ใช่เชิงสอนทำซะทีเดียว 

ฝากติดตามช่อง youtube : ครัวกระทะทองแดง
ขอบคุณทุกคนมากครับ สามารถติชมกันได้ตามสะดวก																															",0,0,"['0', '0', '0', '0', '0', '0']","['YouTube', 'อาหาร', 'อาหารคาว', 'ทำอาหาร', 'วัตถุดิบทำอาหาร']",02/26/2021 20:01:03,https://pantip.com/topic/40546941,no img
10,ไก่กัดสุนัข,สมาชิกหมายเลข 6419314,6419314,"
								ถ้าเกิดว่าสุนัขเราไปกัดไก่ของผู้อื่น ซึ่งไก่ของผู้อื่นนั้น เข้ามาในพื้นที่ของเราใครผิด   
 
เหตุการณ์คือ สุนัขของเราจะอยู่ที่เถียงนาน้อยเฝ้าไร่แล้วมีไก่ของคนอื่นเข้ามาหากินใน พื้นที่ของเรา สุนัขเราจึงกัดไก่ของเขา ถ้าเป็นแบบนี้อยากทราบว่าจะผิดอะไรยังไงบ้างครับ????
[Spoil] คลิกเพื่อดูข้อความที่ซ่อนไว้ใส่ข้อความ																															",0,0,"['0', '0', '0', '0', '0', '0']",['ปัญหาชีวิต'],04/23/2021 16:01:35,https://pantip.com/topic/40661334,no img
11,ไก่มีไม,สมาชิกหมายเลข 6129135,6129135,"
								ไก่มีไมคับ																															",0,1,"['0', '1', '0', '0', '0', '0']",['สัตว์ปีก'],12/14/2020 11:17:19,https://pantip.com/topic/40384056,no img
